Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1998-99,23,SAS,NBA,PG,15,0,106,4.8,11.1,.429,2.1,3.2,.667,2.7,8.0,.333,2.7,3.2,.833,0.5,4.8,5.3,8.5,2.1,0.0,5.3,3.7,14.3,,95,98
1999-00,24,SAS,NBA,SG,4,0,82,5.8,14.8,.391,1.3,5.2,.250,4.5,9.7,.467,5.8,8.4,.692,1.3,5.2,6.4,3.9,4.5,0.0,3.9,3.2,18.7,,94,90
2000-01,25,SAS,NBA,PG,13,8,406,8.3,17.3,.481,2.2,6.1,.370,6.1,11.2,.541,4.4,4.6,.943,0.5,2.9,3.4,5.0,0.9,0.1,1.7,2.9,23.2,,121,108
2001-02,26,SAS,NBA,SG,10,0,224,8.7,19.2,.455,1.5,4.0,.375,7.2,15.2,.475,4.7,5.5,.864,0.7,6.0,6.7,3.7,1.7,0.7,1.2,3.2,23.7,,116,104
2002-03,27,POR,NBA,SG,6,1,98,5.0,10.6,.474,1.7,2.8,.600,3.3,7.8,.429,0.6,1.1,.500,1.7,2.8,4.5,6.7,0.6,0.6,1.1,2.8,12.3,,128,119
2004-05,29,SEA,NBA,PG,11,3,331,7.2,15.4,.468,0.7,2.3,.286,6.5,13.1,.500,9.8,11.4,.857,0.7,4.4,5.1,8.0,1.8,0.0,1.8,2.1,24.8,,134,115
2005-06,30,WAS,NBA,SG,6,0,216,6.9,12.9,.538,0.7,2.7,.273,6.2,10.1,.610,4.9,5.4,.909,0.5,3.7,4.2,4.9,0.7,0.2,2.5,1.0,19.5,,122,114
2006-07,31,WAS,NBA,SG,4,4,176,5.2,11.7,.447,0.3,1.5,.200,4.9,10.2,.485,5.6,6.5,.857,0.6,4.9,5.6,14.5,1.5,0.3,2.2,1.2,16.3,,125,114
2007-08,32,WAS,NBA,PG,6,4,154,5.0,11.0,.452,0.4,1.4,.250,4.6,9.6,.481,5.3,6.0,.882,0.4,4.6,5.0,6.4,0.7,0.7,2.5,2.1,15.6,,113,113
2008-09,33,NOH,NBA,PG,5,0,64,1.7,10.9,.154,0.8,3.3,.250,0.8,7.5,.111,7.5,9.2,.818,0.8,1.7,2.5,7.5,1.7,0.8,4.2,0.8,11.7,,82,123
