Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,22,POR,NBA,PF,63,2,11.2,1.7,3.4,.495,0.0,0.0,.000,1.7,3.4,.500,.495,0.5,0.8,.646,0.9,1.7,2.5,0.2,0.4,0.3,0.2,1.5,3.9
2010-11,23,TOT,NBA,PF,78,18,21.0,2.8,6.1,.462,0.0,0.2,.077,2.8,5.9,.473,.463,0.6,0.8,.726,1.2,2.3,3.6,0.6,0.7,0.6,0.7,2.3,6.2
2010-11,23,POR,NBA,PF,56,9,19.8,2.3,5.2,.433,0.0,0.1,.000,2.3,5.1,.439,.433,0.6,0.8,.711,1.3,2.1,3.4,0.5,0.7,0.6,0.6,2.5,5.1
2010-11,23,CHA,NBA,PF,22,9,24.0,4.2,8.2,.508,0.0,0.4,.111,4.1,7.8,.529,.511,0.6,0.8,.765,1.0,3.0,4.0,0.6,0.7,0.5,0.8,1.7,9.0
2011-12,24,MEM,NBA,PF,64,5,17.6,2.3,4.4,.516,0.0,0.0,.000,2.3,4.3,.520,.516,0.7,1.1,.652,1.4,2.4,3.8,0.6,0.7,0.5,0.5,1.5,5.2
2012-13,25,MIN,NBA,PF,80,9,25.1,3.9,8.4,.468,0.0,0.1,.000,3.9,8.3,.472,.468,0.8,1.3,.650,1.8,3.3,5.1,0.8,1.1,0.5,0.7,1.9,8.7
2013-14,26,MIN,NBA,PF,81,7,20.2,2.9,6.3,.464,0.0,0.1,.000,2.9,6.2,.468,.464,0.5,0.8,.567,1.4,2.7,4.1,1.0,0.8,0.7,0.5,1.8,6.3
2014-15,27,NOP,NBA,PF,66,27,25.0,2.3,5.1,.457,0.0,0.2,.100,2.3,5.0,.468,.459,0.4,0.7,.617,1.1,2.8,3.9,0.8,0.7,0.6,0.5,1.5,5.2
2015-16,28,NOP,NBA,SF,80,46,24.6,2.3,5.2,.451,0.7,2.2,.316,1.6,3.0,.550,.518,0.7,1.0,.695,0.7,2.2,3.0,1.0,0.5,0.4,0.5,2.2,6.1
2016-17,29,NOP,NBA,SF,37,25,24.8,2.4,5.5,.424,1.1,2.9,.370,1.3,2.6,.485,.522,0.2,0.3,.545,0.8,3.3,4.1,0.6,0.5,0.5,0.5,1.6,5.9
