Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 <3,3P,2P,0-3,3-10,10-16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2009-10,22,POR,NBA,PF,63,707,.495,13.1,.991,.252,.056,.159,.523,.009,.500,.630,.583,.294,.491,.000,.868,.037,7,,.000,,2,0
2010-11,23,TOT,NBA,PF,78,1637,.462,12.9,.972,.225,.123,.142,.483,.028,.473,.660,.345,.388,.443,.077,.843,.047,22,1.000,.462,.167,2,0
2010-11,23,POR,NBA,PF,56,1108,.433,12.3,.986,.244,.131,.151,.460,.014,.439,.620,.263,.386,.410,.000,.857,.052,15,,.500,.000,1,0
2010-11,23,CHA,NBA,PF,22,529,.508,13.9,.950,.193,.110,.127,.519,.050,.529,.743,.500,.391,.489,.111,.824,.039,7,1.000,.444,.250,1,0
2011-12,24,MEM,NBA,PF,64,1124,.516,10.2,.993,.380,.111,.151,.351,.007,.520,.792,.387,.357,.337,.000,.715,.079,20,,.000,,1,0
2012-13,25,MIN,NBA,PF,80,2010,.468,13.1,.991,.238,.094,.122,.537,.009,.472,.694,.397,.439,.394,.000,.847,.067,39,,.000,,1,0
2013-14,26,MIN,NBA,PF,81,1635,.464,13.9,.990,.226,.075,.108,.582,.010,.468,.704,.421,.436,.392,.000,.847,.057,26,,.000,,2,0
2014-15,27,NOP,NBA,PF,66,1652,.457,13.8,.971,.245,.094,.071,.560,.029,.468,.663,.281,.375,.426,.100,.929,.035,12,1.000,.300,.000,1,0
2015-16,28,NOP,NBA,SF,80,1971,.451,14.5,.578,.296,.083,.039,.163,.422,.550,.705,.235,.500,.433,.316,.855,.066,24,1.000,.615,.336,2,0
2016-17,29,NOP,NBA,SF,37,917,.424,16.2,.473,.249,.093,.029,.102,.527,.485,.569,.368,.333,.429,.370,.809,.059,11,1.000,.602,.400,0,0
