Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2003-04,19,POR,NBA,PF,8,0,19,5.7,13.3,.429,0.0,0.0,,5.7,13.3,.429,3.8,7.6,.500,3.8,3.8,7.6,1.9,1.9,0.0,1.9,1.9,15.2
2004-05,20,POR,NBA,SF,59,2,793,6.0,12.1,.498,0.2,0.5,.400,5.9,11.7,.502,2.2,3.4,.653,1.8,3.7,5.5,1.6,1.4,1.8,1.8,3.5,14.5
2005-06,21,POR,NBA,PF,69,11,1153,5.1,11.5,.440,0.4,1.7,.264,4.6,9.8,.470,1.9,2.8,.697,1.5,4.4,5.9,1.1,1.0,1.4,1.2,3.5,12.5
2006-07,22,POR,NBA,PF,67,1,1532,5.8,13.3,.434,0.2,0.9,.270,5.5,12.5,.445,3.4,4.3,.790,1.5,3.6,5.1,1.2,1.4,1.7,1.6,3.5,15.2
2007-08,23,POR,NBA,PF,82,6,2186,6.9,15.9,.433,0.7,1.7,.396,6.2,14.2,.437,3.6,4.8,.741,1.6,4.6,6.2,1.7,1.0,1.0,1.8,2.8,18.0
2008-09,24,POR,NBA,SF,81,6,2246,6.2,13.6,.453,1.4,3.8,.377,4.7,9.8,.482,2.8,3.9,.723,1.1,4.2,5.3,1.3,0.8,0.9,1.5,2.7,16.6
2009-10,25,TOT,NBA,SF,34,6,730,5.4,13.9,.391,2.0,5.2,.381,3.5,8.7,.398,2.4,2.9,.831,1.6,4.3,6.0,1.7,0.9,0.8,1.6,2.1,15.2
2009-10,25,POR,NBA,SF,11,0,231,5.9,15.7,.376,1.9,4.8,.387,4.1,10.9,.371,3.3,3.7,.875,2.0,3.9,5.9,1.2,1.1,1.2,1.9,2.0,17.0
2009-10,25,LAC,NBA,SF,23,6,499,5.2,13.0,.400,2.0,5.3,.378,3.2,7.6,.415,2.0,2.5,.800,1.4,4.5,6.0,1.9,0.8,0.6,1.4,2.2,14.4
2010-11,26,NJN,NBA,SF,82,55,2358,4.2,11.2,.375,1.2,3.8,.302,3.0,7.3,.413,2.0,2.6,.772,0.8,4.1,5.0,1.3,0.5,0.5,1.1,2.3,11.5
2011-12,27,SAC,NBA,SF,39,5,500,4.3,12.6,.343,1.2,4.3,.267,3.2,8.3,.383,2.2,3.3,.674,1.4,3.0,4.4,1.2,1.4,1.5,1.4,2.4,12.0
2012-13,28,SAC,NBA,SF,38,2,444,6.0,14.4,.418,1.1,4.1,.280,4.9,10.3,.472,3.1,4.2,.731,1.4,3.6,4.9,1.7,0.9,0.6,1.5,2.8,16.2
2013-14,29,SAC,NBA,SF,63,4,1065,4.4,11.0,.399,1.4,4.0,.350,3.0,7.1,.426,1.4,1.8,.808,1.2,4.5,5.7,1.6,0.7,0.6,0.9,3.2,11.6
