Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Travis Outlaw,,5.3,3.2,2.3,1.4,1.4,0.9,0.9,0.8,0.3,0.0,-0.1
James Bailey,84.6,4.9,2.9,2.3,2.0,1.9,1.0,0.6,0.4,0.3,,
Glen Davis,81.4,4.9,3.7,2.5,2.0,1.7,1.6,1.4,0.8,,,
Tim Perry,81.3,5.7,2.6,2.0,1.4,1.4,1.2,0.3,-0.1,,,
Earl Lloyd,80.0,5.2,3.6,2.9,2.4,2.2,1.3,0.7,0.6,0.4,,
Ben Warley,79.8,6.3,3.8,1.7,1.5,1.4,0.8,0.6,0.5,,,
Samaki Walker,79.4,5.3,2.1,2.0,1.9,1.4,0.7,0.6,0.5,0.0,-0.1,
Corey Brewer,79.0,5.2,3.9,3.1,2.3,1.2,1.1,1.0,0.3,-0.2,,
Tony Campbell,78.6,5.3,3.7,2.5,2.5,2.1,1.5,1.4,1.1,0.4,0.4,-0.3
Ed Nealy,78.6,4.7,2.0,1.9,1.5,1.5,1.3,1.2,0.5,0.4,0.3,
Brian Skinner,78.1,4.1,2.7,1.9,1.9,1.2,1.1,1.1,0.9,0.4,0.3,0.1
