Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2000-01,20,LAC,NBA,PG,76,1,16.3,1.9,4.8,.409,0.4,1.1,.350,1.6,3.7,.426,.448,1.6,2.4,.698,0.1,1.1,1.2,2.3,0.5,0.1,1.2,1.4,5.9
2001-02,21,LAC,NBA,PG,14,0,11.1,1.6,4.1,.386,0.3,1.0,.286,1.3,3.1,.419,.421,0.7,0.9,.833,0.0,0.2,0.2,0.9,0.3,0.2,0.7,1.4,4.1
2002-03,22,LAC,NBA,SG,55,1,17.6,2.3,6.0,.389,0.9,2.5,.360,1.4,3.5,.411,.465,0.8,1.0,.772,0.2,1.1,1.3,1.6,0.4,0.1,1.1,1.7,6.4
2003-04,23,LAC,NBA,PG,58,24,19.6,2.4,6.1,.389,0.1,0.8,.174,2.2,5.3,.422,.401,1.3,1.6,.830,0.3,1.1,1.4,2.2,0.8,0.1,1.1,1.9,6.2
2004-05,24,MIA,NBA,PG,74,0,16.0,1.9,4.7,.403,0.3,1.0,.253,1.6,3.6,.444,.430,1.1,1.5,.780,0.1,1.1,1.2,1.8,0.5,0.1,0.9,1.6,5.2
2005-06,25,ORL,NBA,PG,50,7,22.7,3.6,8.1,.440,0.3,0.9,.302,3.3,7.2,.456,.456,2.0,2.4,.835,0.2,1.3,1.6,2.2,1.0,0.1,1.6,2.3,9.4
2006-07,26,ORL,NBA,SG,66,2,21.7,2.8,6.9,.410,0.5,1.5,.323,2.4,5.5,.434,.444,1.7,2.1,.809,0.3,1.0,1.3,1.7,0.8,0.2,1.1,1.9,7.9
2007-08,27,ORL,NBA,PG,72,1,18.5,2.8,5.9,.468,0.3,0.9,.338,2.4,5.0,.492,.494,2.3,2.7,.845,0.1,1.3,1.4,1.8,0.5,0.1,0.8,1.8,8.1
2008-09,28,NJN,NBA,PG,77,18,26.9,3.4,7.8,.436,1.3,3.1,.421,2.1,4.7,.446,.519,1.6,2.0,.825,0.3,1.7,2.0,3.5,0.9,0.1,1.4,1.8,9.7
2009-10,29,NJN,NBA,PG,53,8,18.3,2.4,6.1,.398,1.1,3.0,.376,1.3,3.2,.419,.489,0.9,1.2,.770,0.2,0.9,1.0,2.5,0.6,0.0,1.1,1.5,6.9
2010-11,30,MIL,NBA,PG,80,22,22.0,2.6,6.5,.397,1.0,2.9,.346,1.6,3.6,.439,.475,1.0,1.2,.830,0.2,1.3,1.5,3.0,0.7,0.1,1.1,1.5,7.1
2011-12,31,BOS,NBA,SG,46,2,14.4,1.4,3.5,.405,0.6,1.8,.333,0.8,1.8,.476,.488,0.5,0.7,.742,0.1,0.8,0.8,1.1,0.3,0.0,0.7,1.2,4.0
2012-13,32,MEM,NBA,PG,7,0,11.7,1.4,3.0,.476,0.7,1.7,.417,0.7,1.3,.556,.595,0.9,1.0,.857,0.0,0.1,0.1,1.1,0.1,0.0,0.7,1.1,4.4
