Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
2006-07,22,DAL,NBA,PG,33,191,9.6,.440,.269,.308,4.5,11.1,7.9,20.4,0.3,0.4,13.7,25.0,,-0.1,0.2,0.1,.015,,-2.8,-2.6,-5.4,-0.2
2007-08,23,DAL,NBA,PG,44,460,11.7,.515,.318,.206,1.0,10.5,5.9,20.6,1.6,0.2,15.9,22.3,,0.0,0.5,0.5,.052,,-1.5,-1.8,-3.2,-0.1
2008-09,24,DAL,NBA,SG,79,1600,13.4,.516,.276,.167,2.6,10.0,6.4,26.4,1.2,0.2,14.9,20.2,,1.2,1.0,2.2,.066,,-0.1,-1.7,-1.9,0.1
2009-10,25,DAL,NBA,PG,78,1546,12.8,.526,.298,.171,1.3,9.5,5.4,26.1,1.2,0.3,15.3,19.9,,1.0,1.2,2.2,.069,,-0.6,-1.8,-2.4,-0.1
2010-11,26,DAL,NBA,PG,81,1669,14.8,.535,.291,.242,2.1,8.8,5.6,31.2,0.9,0.0,15.9,23.9,,1.9,1.4,3.2,.093,,0.6,-1.7,-1.1,0.4
2011-12,27,MIN,NBA,PG,41,1032,14.9,.502,.342,.234,1.5,10.8,6.1,39.0,1.0,0.0,18.3,24.3,,0.8,0.4,1.2,.056,,1.1,-2.4,-1.3,0.2
2012-13,28,MIN,NBA,PG,74,1713,14.1,.510,.369,.177,2.2,11.9,6.9,30.6,1.0,0.0,15.1,25.1,,0.8,1.0,1.9,.053,,1.1,-2.1,-1.0,0.4
2013-14,29,MIN,NBA,PG,79,1471,11.6,.471,.352,.152,1.2,10.5,5.7,32.7,0.9,0.0,15.2,23.9,,-0.1,0.9,0.7,.024,,-0.9,-2.7,-3.6,-0.6
2014-15,30,DAL,NBA,PG,77,1362,15.1,.502,.312,.175,1.8,9.0,5.4,29.5,1.2,0.1,10.8,21.2,,2.1,0.6,2.7,.096,,1.0,-2.5,-1.5,0.2
2015-16,31,DAL,NBA,PG,74,1667,15.4,.536,.366,.135,1.7,8.3,5.0,31.5,0.8,0.1,13.0,23.8,,2.1,0.7,2.8,.082,,1.6,-2.8,-1.2,0.3
2016-17,32,DAL,NBA,PG,18,444,17.4,.530,.385,.172,1.2,13.2,6.9,35.4,1.1,0.2,13.1,25.3,,0.5,0.3,0.8,.090,,1.5,-1.7,-0.2,0.2
