Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
1998-99,22,MIN,NBA,C,3,29,15.1,.500,.000,.000,15.0,12.4,13.8,19.6,0.0,0.0,11.1,14.5,,0.1,0.0,0.1,.109,,0.9,0.4,1.2,0.0
1999-00,23,MIN,NBA,C,4,126,7.8,.452,.000,.240,5.2,9.1,7.0,7.6,1.4,4.7,12.6,12.6,,0.0,0.1,0.1,.032,,-4.2,4.6,0.4,0.1
2000-01,24,MIN,NBA,C,4,49,8.0,.385,.000,.000,11.1,16.5,13.7,11.4,1.1,4.9,18.8,15.4,,-0.1,0.1,0.0,.009,,-4.8,5.0,0.1,0.0
2001-02,25,MIN,NBA,C,3,92,11.5,.486,.000,.290,6.6,16.9,11.5,5.6,0.5,0.0,10.3,18.2,,0.1,-0.1,0.0,-0.013,,-5.1,0.8,-4.4,-0.1
2002-03,26,MIN,NBA,C,6,169,7.7,.517,.000,.158,6.6,12.9,10.1,3.6,0.3,1.7,11.0,12.2,,0.1,0.0,0.1,.027,,-4.2,1.2,-3.0,0.0
2003-04,27,SAS,NBA,C,10,261,9.8,.424,.015,.090,9.2,16.2,12.6,6.5,0.6,3.5,10.3,14.0,,0.1,0.3,0.4,.067,,-2.5,2.9,0.4,0.2
2004-05,28,SAS,NBA,C,15,114,5.6,.388,.000,.167,11.8,15.3,13.6,2.6,0.5,3.1,23.7,6.9,,0.0,0.2,0.1,.048,,-4.0,2.5,-1.5,0.0
2005-06,29,SAS,NBA,C,9,114,12.7,.629,.053,.105,8.4,24.3,16.8,1.4,1.0,3.3,9.1,9.3,,0.2,0.1,0.3,.127,,-2.4,1.7,-0.8,0.0
2006-07,30,TOR,NBA,C,5,71,14.1,.521,.000,.200,17.6,22.0,19.8,7.3,0.0,2.6,19.7,13.8,,0.1,0.0,0.1,.084,,-2.4,0.7,-1.7,0.0
2007-08,31,TOR,NBA,C,5,77,6.7,.503,.000,.091,4.4,14.8,9.6,6.2,0.7,2.6,17.9,16.7,,-0.1,0.0,-0.1,-0.048,,-7.5,2.5,-5.1,-0.1
