Player,Sim,1,2,3,4,5,6,7,8,9
Sasha Vujacic,,3.7,3.6,2.1,2.0,1.8,1.4,1.1,0.2,-0.1
Jim King,91.5,3.7,3.5,2.5,2.3,1.5,1.3,1.1,0.4,-0.1
Dudley Bradley,87.6,3.9,3.1,2.4,1.9,1.7,1.4,1.1,1.0,0.0
Rod Thorn,87.5,3.5,3.4,2.9,2.3,2.1,1.5,1.4,0.1,
Keyon Dooling,87.0,3.7,3.7,2.1,1.5,1.4,1.1,0.3,0.3,0.0
John Battle,85.9,4.0,3.2,2.3,2.0,1.7,1.5,1.4,1.0,0.5
Fatty Taylor,85.4,3.7,3.0,2.6,2.6,2.1,1.3,1.2,0.4,
Clint Richardson,84.2,3.3,3.1,2.4,2.1,1.9,1.8,1.1,1.0,
Frank Johnson,83.5,4.3,3.0,2.1,1.9,1.6,1.5,0.6,0.5,0.5
Marquis Daniels,83.4,4.2,3.2,2.5,2.0,1.3,1.3,0.9,0.6,0.1
Tyronn Lue,83.2,3.7,3.7,2.7,2.5,2.1,2.0,0.4,0.3,0.2
