Player,Sim,1,2,3,4,5,6,7,8,9,10
Steve Novak,,4.0,3.9,2.2,1.4,1.1,0.9,0.4,0.3,0.3,0.1
Jarron Collins,84.8,4.2,3.9,3.3,1.3,1.1,1.0,0.7,0.2,0.1,-0.1
Jason Caffey,84.7,3.9,3.5,2.7,1.6,0.6,0.5,0.4,0.3,,
Mike O'Koren,83.9,4.1,3.8,2.0,1.9,1.5,1.2,0.1,-0.1,,
George Johnson,82.0,3.8,3.2,2.5,2.2,1.0,0.7,0.6,0.0,,
Terry Davis,81.3,3.6,3.1,2.0,1.4,0.5,0.5,0.5,0.4,0.2,-0.1
Danny Vranes,80.9,4.2,3.4,2.4,2.1,1.8,0.8,0.6,,,
Toby Kimball,80.0,3.4,3.2,2.5,2.0,1.2,1.2,0.4,0.2,0.0,
Larry McNeill,79.7,4.4,4.3,2.3,1.5,0.7,0.1,,,,
Luke Walton,79.7,3.8,3.2,2.0,2.0,1.6,0.8,0.5,0.3,-0.2,-0.4
Dave Budd,79.6,4.1,3.2,2.3,1.2,0.9,,,,,
