Player,Sim,1,2,3,4,5,6,7,8,9
Rudy Fernandez,,6.1,3.8,3.0,1.2,,,,,
Luther Head,83.0,5.7,3.5,3.5,0.9,0.6,0.6,,,
Chick Reiser,81.9,5.5,3.9,3.7,,,,,,
Cory Joseph,81.4,4.5,3.5,2.9,0.9,0.0,,,,
Scott Burrell,81.4,5.6,3.7,3.2,1.4,1.1,0.8,0.5,0.1,
Randy Wittman,80.6,5.9,4.2,3.5,1.6,1.2,0.7,0.0,0.0,0.0
Wilbur Holland,80.5,5.9,4.4,3.8,-0.1,,,,,
Billy Kenville,79.8,4.5,3.9,3.0,1.4,0.5,0.4,,,
Mitchell Wiggins,79.0,5.4,3.5,3.3,2.0,1.2,-0.1,,,
Charles Beasley,78.9,8.0,4.1,2.6,0.7,,,,,
Don Carlson,78.8,5.8,2.8,2.6,0.2,,,,,
