Player,Sim,1,2,3,4,5,6,7,8,9
Markieff Morris,,6.4,4.6,1.7,1.5,0.5,,,,
Fabricio Oberto,90.7,6.1,4.1,1.7,1.1,0.6,0.0,,,
Ed Ratleff,87.4,5.6,4.5,2.1,1.0,0.5,,,,
Monk Meineke,82.6,6.1,3.7,2.6,1.8,0.7,,,,
Jae Crowder,81.9,7.3,3.9,2.3,1.5,,,,,
Josh McRoberts,81.5,6.5,4.9,2.2,1.5,1.4,0.8,0.4,0.4,0.1
Toby Knight,81.0,7.3,5.7,1.6,1.1,,,,,
Ben Warley,80.2,6.3,3.8,1.7,1.5,1.4,0.8,0.6,0.5,
Walt Budko,79.9,5.6,4.0,2.7,1.5,,,,,
Leon Powe,79.7,4.9,4.3,1.7,0.6,0.5,,,,
Stan McKenzie,79.4,6.1,5.3,2.4,0.6,0.2,0.1,-0.1,,
