Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
Career,,,NBA,,492,9728,,,30%,64%,6%,-0.3,+1.8,154,65,80,281,9,28,1,979,153,48,99
2 seasons,,DET,NBA,,124,2501,,,1%,99%,,+2.1,+3.6,34,10,23,104,8,16,2,235,44,8,27
2 seasons,,MIN,NBA,,116,2244,,1%,55%,44%,,-2.2,+4.3,42,21,21,107,0,12,0,234,79,18,26
1 season,,CHA,NBA,,64,1298,,,74%,24%,2%,+2.8,+4.3,15,2,6,42,3,3,0,100,16,6,7
1 season,,ATL,NBA,,62,963,,,56%,31%,13%,-2.7,-4.2,23,4,9,38,0,3,0,70,21,3,11
1 season,,GSW,NBA,,44,1423,,,1%,69%,31%,-0.2,+5.5,29,8,9,81,0,5,0,201,63,12,18
1 season,,SAC,NBA,,37,815,,,3%,95%,1%,-6.4,-4.7,2,16,7,33,0,4,1,79,16,1,5
1 season,,PHO,NBA,,24,272,,,31%,69%,,-5.4,-4.6,6,2,3,5,2,3,0,23,2,0,4
1 season,,SAS,NBA,,19,208,,,,100%,,+0.5,-3.7,3,2,2,12,0,0,0,37,3,0,1
1 season,,POR,NBA,,2,4,,,,100%,,-73.3,-77.4,0,0,0,0,0,0,0,0,0,0,0
