Player,Sim,1,2,3,4,5,6,7,8
Anthony Tolliver,,3.3,3.2,2.8,2.7,2.5,1.2,0.9,0.0
Andrew DeClercq,93.3,3.4,3.1,2.9,2.6,2.5,1.6,1.0,0.4
Omri Casspi,89.1,3.6,2.7,2.5,2.5,2.4,1.2,0.7,
Glen Gondrezick,89.1,3.6,3.1,3.1,2.7,2.5,0.9,,
Willie Norwood,87.2,3.8,3.5,3.3,3.0,2.6,1.1,0.5,
Edgar Jones,86.4,3.4,3.4,2.6,2.4,2.3,0.9,,
Howard Porter,86.0,4.1,3.9,2.7,2.4,2.4,1.1,1.0,
Charles Jones,85.4,3.8,3.2,2.9,2.8,2.2,2.2,1.6,0.0
Corky Calhoun,84.3,3.1,2.5,2.3,2.2,2.1,1.3,1.0,0.0
Greg Anderson,84.2,3.4,3.4,3.0,2.3,2.0,1.5,0.4,-0.3
Scott Williams,83.7,3.9,3.1,2.6,2.3,1.7,1.7,0.9,0.3
