Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Career,,,NBA,,493,74,9754,1010,2452,.412,533,1481,.360,477,971,.491,.521,455,589,.772,426,1307,1733,427,187,149,302,812,3008
2 seasons,,DET,NBA,,124,16,2501,263,651,.404,180,500,.360,83,151,.550,.542,79,110,.718,84,337,421,101,46,31,68,203,785
2 seasons,,MIN,NBA,,116,4,2244,212,495,.428,72,216,.333,140,279,.502,.501,146,186,.785,142,306,448,104,46,47,84,231,642
1 season,,CHA,NBA,,64,9,1298,129,307,.420,102,247,.413,27,60,.450,.586,33,41,.805,33,135,168,42,19,15,23,82,393
1 season,,ATL,NBA,,62,11,963,82,216,.380,45,133,.338,37,83,.446,.484,44,51,.863,31,124,155,32,15,12,36,66,253
1 season,,GSW,NBA,,44,29,1423,193,448,.431,50,151,.331,143,297,.481,.487,103,134,.769,84,235,319,87,32,33,46,127,539
1 season,,SAC,NBA,,38,5,841,86,195,.441,51,130,.392,35,65,.538,.572,41,51,.804,34,102,136,34,20,9,27,66,264
1 season,,PHO,NBA,,24,0,272,26,74,.351,24,62,.387,2,12,.167,.514,4,6,.667,6,38,44,10,4,1,11,20,80
1 season,,SAS,NBA,,19,0,208,19,65,.292,9,41,.220,10,24,.417,.362,5,10,.500,12,29,41,17,5,1,7,16,52
1 season,,POR,NBA,,2,0,4,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,1,1,0,0,0,0,1,0
