Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
2001-02,21,SEA,NBA,PF,61,1230,,,5%,76%,19%,+2.8,-0.9,29,24,19,67,,11,,180,28,3,32
2002-03,22,SEA,NBA,PF,72,1910,,,5%,78%,16%,+4.7,+8.8,32,40,28,62,,17,,213,39,13,39
2003-04,23,SEA,NBA,PF,77,2321,,,1%,80%,19%,-0.2,+1.1,50,36,23,93,,14,,336,52,9,47
2004-05,24,SEA,NBA,PF,63,1856,,,1%,73%,26%,+9.2,+12.3,27,27,26,102,,16,,203,37,5,27
2005-06,25,TOT,NBA,PF,77,1974,,,28%,62%,11%,-3.1,-3.2,43,25,25,0,,0,,307,0,13,40
2005-06,25,SEA,NBA,PF,47,1089,,,2%,80%,18%,-4.8,-2.1,22,14,17,77,,9,,170,26,8,22
2005-06,25,LAC,NBA,PF,30,885,,,60%,39%,1%,-1.1,-3.8,21,11,8,44,,4,,137,17,5,18
2006-07,26,LAL,NBA,PF,55,986,,,,89%,11%,-6.0,-7.8,30,20,19,72,,11,,142,30,7,27
2007-08,27,LAL,NBA,SF,65,1483,,,69%,25%,6%,+11.6,+6.4,36,24,13,77,,7,,278,28,4,30
2008-09,28,TOT,NBA,SF,78,1445,,,60%,32%,8%,+2.0,-1.9,53,28,17,0,,0,,185,0,4,23
2008-09,28,LAL,NBA,SF,46,771,,,83%,15%,2%,+5.7,-3.1,27,7,13,26,,6,,84,11,3,6
2008-09,28,CHA,NBA,SF,32,674,,,34%,52%,14%,-2.6,-1.4,26,21,4,25,,2,,101,12,1,17
2009-10,29,TOT,NBA,PF,41,891,,,,72%,28%,-7.0,-6.6,24,11,9,0,,0,,102,0,1,18
2009-10,29,CHA,NBA,PF,8,133,,,,48%,52%,-6.6,-8.4,3,1,1,9,,0,,15,3,0,3
2009-10,29,GSW,NBA,PF,33,758,,,,76%,24%,-7.1,-4.1,21,10,8,47,,4,,87,9,1,15
2010-11,30,GSW,NBA,PF,74,1169,,,,44%,55%,+2.2,+6.9,26,20,11,94,,6,,182,9,1,15
2011-12,31,ATL,NBA,SF,49,755,,,27%,35%,39%,+2.9,-1.2,23,5,7,38,,2,,123,6,1,6
2012-13,32,CHI,NBA,PF,25,144,,,,80%,20%,-12.0,-13.1,2,1,4,16,,3,0,20,2,1,1
