Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 <3,3P,2P,0-3,3-10,10-16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2001-02,22,TOT,NBA,PG,37,371,.441,11.7,.982,.315,.090,.063,.514,.018,.450,.514,.200,.571,.439,.000,.510,.000,0,,.500,.000,0,0
2001-02,22,TOR,NBA,PG,17,96,.448,9.2,1.000,.414,.103,.069,.414,.000,.448,.667,.000,.500,.333,,.538,.000,0,,,,0,0
2001-02,22,DEN,NBA,PG,20,275,.439,12.6,.976,.280,.085,.061,.549,.024,.450,.435,.286,.600,.467,.000,.500,.000,0,,.500,.000,0,0
2002-03,23,UTA,NBA,PG,44,287,.459,11.2,.936,.284,.183,.119,.349,.064,.461,.710,.300,.462,.342,.429,.255,.000,0,.333,.143,1.000,0,0
2003-04,24,UTA,NBA,PG,71,2008,.441,14.5,.848,.220,.052,.145,.431,.152,.462,.515,.275,.486,.450,.325,.352,.000,0,.737,.179,.429,2,0
2004-05,25,TOT,NBA,PG,70,1448,.389,12.8,.930,.261,.061,.184,.424,.070,.398,.518,.269,.367,.357,.267,.377,.000,0,.500,.167,.400,1,0
2004-05,25,UTA,NBA,PG,30,742,.401,13.3,.922,.233,.069,.211,.409,.078,.402,.574,.250,.367,.347,.389,.395,.000,0,.429,.111,.500,1,0
2004-05,25,DET,NBA,PG,40,706,.376,12.2,.939,.294,.051,.152,.442,.061,.395,.466,.300,.367,.368,.083,.356,.000,0,1.000,.250,.333,0,0
2005-06,26,TOT,NBA,PG-SG,77,1194,.444,12.3,.947,.246,.095,.204,.402,.053,.450,.516,.333,.455,.434,.350,.273,.000,0,.429,.100,.000,0,0
2005-06,26,DET,NBA,PG,50,600,.363,12.4,.962,.248,.070,.223,.420,.038,.364,.436,.091,.457,.318,.333,.327,.000,0,.500,.167,.000,0,0
2005-06,26,ORL,NBA,SG,27,594,.502,12.3,.937,.244,.113,.190,.389,.063,.512,.574,.440,.452,.523,.357,.245,.000,0,.400,.071,.000,0,0
2006-07,27,ORL,NBA,PG,72,1304,.425,13.8,.893,.192,.092,.195,.414,.107,.443,.435,.500,.409,.449,.275,.196,.000,0,.929,.255,.462,0,0
2007-08,28,ORL,NBA,PG,62,1269,.451,15.0,.759,.233,.046,.118,.362,.241,.485,.519,.563,.439,.468,.345,.164,.000,0,.586,.286,.333,0,0
2009-10,30,MIA,NBA,PG,72,1585,.475,16.0,.933,.115,.032,.173,.613,.067,.489,.488,.417,.554,.474,.280,.368,.000,0,.714,.600,.200,0,0
2010-11,31,TOT,NBA,PG,64,1185,.440,18.4,.747,.051,.044,.103,.549,.253,.436,.500,.417,.393,.440,.449,.629,.000,0,.935,.768,.491,0,0
2010-11,31,MIA,NBA,PG,49,995,.458,18.7,.731,.042,.046,.092,.550,.269,.466,.500,.455,.409,.473,.438,.642,.000,0,.964,.797,.490,0,0
2010-11,31,BOS,NBA,PG,15,190,.314,16.4,.857,.114,.029,.171,.543,.143,.267,.500,.000,.333,.211,.600,.500,.000,0,.667,.400,.500,0,0
