Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Jordan Farmar,,3.9,2.8,1.9,1.8,0.9,0.8,0.7,0.6,0.4,,,,
Marquis Daniels,83.0,4.2,3.2,2.5,2.0,1.3,1.3,0.9,0.6,0.5,0.1,,,
Kevin Ollie,82.8,3.8,2.4,2.4,1.4,1.2,1.1,0.9,0.6,0.5,0.3,0.1,0.0,-0.1
Charles Johnson,82.2,3.7,2.8,2.4,1.4,1.1,1.0,0.9,,,,,,
Frank Johnson,80.7,4.3,3.0,2.1,1.9,1.6,1.5,1.2,0.6,0.5,0.5,,,
Dudley Bradley,80.2,3.9,3.1,2.4,1.9,1.7,1.4,1.1,1.0,0.0,,,,
John Barnhill,79.8,4.6,2.5,1.7,1.1,1.0,1.0,0.7,0.4,0.3,-0.4,,,
Anthony Bowie,79.5,2.9,2.5,2.0,1.6,1.3,0.7,0.7,0.5,,,,,
Ron Lee,79.1,3.8,2.8,1.6,1.4,0.8,0.3,,,,,,,
Quintin Dailey,78.9,3.7,2.6,2.1,2.0,1.3,1.0,0.3,0.1,-0.3,-0.3,,,
Wes Matthews,78.0,3.0,2.6,1.6,1.3,0.8,0.7,0.6,0.4,0.1,,,,
