Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
Career,,,NBA,,668,15378,,,12%,68%,20%,+1.0,+1.9,219,205,193,752,0,78,0,1242,524,143,362
3 seasons,,MIL,NBA,,194,5406,,,1%,88%,10%,-0.4,+1.4,73,79,49,335,0,33,0,391,242,53,135
2 seasons,,MIN,NBA,,126,3039,,,57%,27%,16%,+7.4,+7.7,49,40,40,221,0,26,0,267,137,25,82
1 season,,DET,NBA,,69,1941,,,,80%,20%,-0.7,+2.1,23,30,35,133,0,16,0,177,123,21,47
1 season,,ATL,NBA,,64,592,,,1%,95%,4%,-0.3,-6.3,12,6,4,63,0,3,0,47,22,2,11
1 season,,PHI,NBA,,54,1355,,,1%,75%,25%,+1.4,+7.0,18,16,29,70,0,10,0,100,59,19,18
1 season,,CHI,NBA,,50,1146,,,,74%,26%,-3.8,-0.9,17,17,15,65,0,9,0,108,56,9,29
2 seasons,,CLE,NBA,,48,991,,,,56%,44%,+4.8,+0.8,14,9,9,74,0,6,0,86,38,8,26
1 season,,OKC,NBA,,36,691,,,,42%,58%,-4.9,+2.2,7,5,3,43,0,0,0,51,24,4,10
1 season,,LAL,NBA,,12,44,,,,88%,12%,+0.9,-6.0,0,1,2,9,0,0,0,6,1,0,1
1 season,,DEN,NBA,,11,148,,,,22%,78%,-10.1,-12.4,6,2,5,17,0,1,0,7,6,2,3
1 season,,NJN,NBA,,4,25,,,,95%,5%,-12.5,-5.4,0,0,2,2,0,0,0,2,0,0,0
