Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Career,,,NBA,,1030,619,26.2,4.2,9.2,.455,0.0,0.1,.238,4.2,9.1,.458,.456,2.5,3.1,.790,2.4,4.0,6.4,1.0,0.6,0.8,1.3,2.9,10.9
4 seasons,,MIN,NBA,,247,135,26.0,3.9,8.3,.467,0.0,0.0,.333,3.9,8.3,.468,.468,2.5,3.2,.779,2.4,3.9,6.3,1.1,0.5,1.1,1.3,3.5,10.3
3 seasons,,GSW,NBA,,211,211,35.8,6.6,14.8,.449,0.1,0.4,.272,6.5,14.4,.454,.452,3.6,4.6,.788,3.3,4.9,8.2,1.3,1.0,1.2,2.1,3.0,17.0
3 seasons,,MIL,NBA,,194,154,27.9,4.0,8.4,.474,0.0,0.0,.125,4.0,8.4,.476,.475,2.4,3.0,.807,2.5,4.8,7.3,0.9,0.6,0.7,1.0,2.8,10.4
2 seasons,,PHI,NBA,,84,17,24.5,3.7,8.3,.446,0.0,0.1,.000,3.7,8.3,.450,.446,2.2,2.6,.824,2.0,3.9,5.9,0.9,0.6,0.4,1.4,2.6,9.6
1 season,,DET,NBA,,69,59,28.1,4.5,11.1,.403,0.0,0.1,.000,4.5,11.0,.405,.403,3.3,4.2,.805,2.3,4.8,7.1,1.1,0.7,0.7,1.3,3.7,12.3
1 season,,ATL,NBA,,64,1,9.3,1.2,3.0,.399,0.0,0.1,.143,1.2,2.9,.409,.402,0.6,0.8,.813,1.0,1.4,2.5,0.3,0.1,0.3,0.3,1.5,3.0
1 season,,CHI,NBA,,50,35,22.9,4.5,9.7,.466,0.0,0.0,.000,4.5,9.6,.467,.466,2.2,2.7,.807,2.2,3.1,5.3,0.9,0.5,0.6,1.0,2.3,11.2
2 seasons,,CLE,NBA,,48,1,20.6,3.0,5.9,.505,0.0,0.1,.200,3.0,5.8,.511,.507,1.4,2.0,.680,1.9,3.0,4.9,0.7,0.3,0.6,0.7,2.6,7.4
1 season,,OKC,NBA,,36,3,19.2,2.8,6.1,.454,0.1,0.1,.500,2.7,5.9,.453,.459,1.1,1.5,.704,1.5,3.1,4.5,0.7,0.3,0.7,0.4,2.0,6.6
1 season,,LAL,NBA,,12,0,3.7,0.2,1.0,.167,0.0,0.0,,0.2,1.0,.167,.167,0.2,0.2,1.000,0.2,1.3,1.5,0.3,0.0,0.3,0.3,0.8,0.5
1 season,,DEN,NBA,,11,0,13.5,2.1,4.4,.479,0.0,0.1,.000,2.1,4.3,.489,.479,0.9,1.1,.833,1.2,2.5,3.6,0.3,0.5,0.6,1.2,2.1,5.1
1 season,,NJN,NBA,,4,3,6.3,0.3,1.0,.250,0.0,0.0,,0.3,1.0,.250,.250,0.0,0.0,,0.3,0.5,0.8,0.3,0.0,0.0,0.5,0.8,0.5
