Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
Career,,,NBA,,1030,619,27022,8.4,18.4,.455,0.1,0.2,.238,8.3,18.2,.458,4.9,6.2,.790,4.8,8.0,12.7,2.0,1.2,1.7,2.5,5.8,21.7,,107,106
4 seasons,,MIN,NBA,,247,135,6432,7.8,16.8,.467,0.0,0.1,.333,7.8,16.7,.468,5.0,6.4,.779,4.9,7.8,12.8,2.3,1.1,2.2,2.6,7.1,20.7,,109,103
3 seasons,,GSW,NBA,,211,211,7552,9.6,21.4,.449,0.2,0.6,.272,9.5,20.9,.454,5.3,6.7,.788,4.8,7.1,11.9,1.9,1.4,1.8,3.0,4.4,24.7,,106,109
3 seasons,,MIL,NBA,,194,154,5406,7.5,15.9,.474,0.0,0.1,.125,7.5,15.8,.476,4.6,5.7,.807,4.8,9.0,13.8,1.7,1.1,1.4,2.0,5.4,19.7,,112,106
2 seasons,,PHI,NBA,,84,17,2054,8.0,18.0,.446,0.0,0.1,.000,8.0,17.9,.450,4.7,5.7,.824,4.3,8.5,12.7,1.9,1.3,0.9,3.0,5.6,20.8,,102,106
1 season,,DET,NBA,,69,59,1941,8.0,20.0,.403,0.0,0.1,.000,8.0,19.8,.405,6.0,7.5,.805,4.2,8.6,12.8,2.1,1.2,1.3,2.3,6.7,22.1,,102,101
1 season,,ATL,NBA,,64,1,592,6.9,17.4,.399,0.1,0.6,.143,6.8,16.7,.409,3.5,4.3,.813,5.9,8.2,14.1,1.9,0.5,1.7,2.0,8.5,17.5,,104,107
1 season,,CHI,NBA,,50,35,1146,10.1,21.7,.466,0.0,0.0,.000,10.1,21.7,.467,4.9,6.1,.807,4.9,7.1,11.9,2.1,1.1,1.4,2.2,5.1,25.2,,108,108
2 seasons,,CLE,NBA,,48,1,991,7.8,15.4,.505,0.1,0.3,.200,7.7,15.1,.511,3.6,5.2,.680,4.9,7.8,12.8,1.9,0.9,1.6,1.7,6.7,19.2,,116,105
1 season,,OKC,NBA,,36,3,691,7.3,16.2,.454,0.1,0.3,.500,7.2,15.9,.453,2.8,4.0,.704,3.9,8.2,12.1,1.9,0.7,1.9,1.1,5.3,17.7,,109,109
1 season,,LAL,NBA,,12,0,44,2.4,14.4,.167,0.0,0.0,,2.4,14.4,.167,2.4,2.4,1.000,2.4,19.2,21.6,3.6,0.0,4.8,3.6,12.0,7.2,,60,95
1 season,,DEN,NBA,,11,0,148,7.7,16.0,.479,0.0,0.3,.000,7.7,15.6,.489,3.3,4.0,.833,4.3,9.0,13.3,1.0,2.0,2.3,4.3,7.7,18.6,,95,102
1 season,,NJN,NBA,,4,3,25,2.1,8.5,.250,0.0,0.0,,2.1,8.5,.250,0.0,0.0,,2.1,4.3,6.4,2.1,0.0,0.0,4.3,6.4,4.3,,51,115
