Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Career,,,NBA,,1030,619,27022,4325,9512,.455,30,126,.238,4295,9386,.458,.456,2528,3200,.790,2456,4119,6575,1010,606,868,1290,2974,11208
4 seasons,,MIN,NBA,,247,135,6432,960,2054,.467,3,9,.333,957,2045,.468,.468,610,783,.779,603,958,1561,276,130,265,314,870,2533
3 seasons,,GSW,NBA,,211,211,7552,1399,3117,.449,22,81,.272,1377,3036,.454,.452,770,977,.788,702,1032,1734,271,203,258,436,637,3590
3 seasons,,MIL,NBA,,194,154,5406,775,1634,.474,1,8,.125,774,1626,.476,.475,471,584,.807,492,922,1414,176,114,145,201,551,2022
2 seasons,,PHI,NBA,,84,17,2054,312,699,.446,0,5,.000,312,694,.450,.446,182,221,.824,165,328,493,73,49,33,115,219,806
1 season,,DET,NBA,,69,59,1941,308,765,.403,0,5,.000,308,760,.405,.403,231,287,.805,160,331,491,79,47,50,88,258,847
1 season,,ATL,NBA,,64,1,592,77,193,.399,1,7,.143,76,186,.409,.402,39,48,.813,66,91,157,21,6,19,22,95,194
1 season,,CHI,NBA,,50,35,1146,225,483,.466,0,1,.000,225,482,.467,.466,109,135,.807,108,157,265,47,25,31,49,113,559
2 seasons,,CLE,NBA,,48,1,991,144,285,.505,1,5,.200,143,280,.511,.507,66,97,.680,91,145,236,35,16,30,32,123,355
1 season,,OKC,NBA,,36,3,691,99,218,.454,2,4,.500,97,214,.453,.459,38,54,.704,53,110,163,25,10,26,15,72,238
1 season,,LAL,NBA,,12,0,44,2,12,.167,0,0,,2,12,.167,.167,2,2,1.000,2,16,18,3,0,4,3,10,6
1 season,,DEN,NBA,,11,0,148,23,48,.479,0,1,.000,23,47,.489,.479,10,12,.833,13,27,40,3,6,7,13,23,56
1 season,,NJN,NBA,,4,3,25,1,4,.250,0,0,,1,4,.250,.250,0,0,,1,2,3,1,0,0,2,3,2
