Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
2001-02,20,CLE,NBA,C,18,109,,,,7%,93%,-4.8,-1.1,4,5,3,15,,1,,11,2,2,2
2002-03,21,CLE,NBA,PF,80,943,,,,29%,71%,-13.2,-3.6,26,16,14,103,,8,,90,14,2,8
2003-04,22,CLE,NBA,C,56,730,,,,13%,87%,-4.7,-2.0,15,7,7,79,,3,,70,9,2,7
2004-05,23,CLE,NBA,C,39,306,,,,13%,87%,-5.7,-7.0,4,4,4,39,,0,,31,2,1,7
2005-06,24,DAL,NBA,C,81,1510,,,,1%,99%,+9.2,+4.3,12,5,19,178,,9,,53,26,10,17
2006-07,25,DAL,NBA,C,81,1480,,,,,100%,+4.8,-5.2,10,16,37,157,,12,,69,39,7,21
2007-08,26,TOT,NBA,C,79,1295,,,,,100%,+4.3,+5.6,11,15,32,0,,0,,86,0,8,16
2007-08,26,DAL,NBA,C,52,894,,,,,100%,+6.8,+2.2,6,11,25,64,,7,,54,21,6,11
2007-08,26,NJN,NBA,C,27,401,,,,,100%,-1.2,+5.1,5,4,7,30,,4,,32,12,2,5
2008-09,27,TOT,NBA,C,75,1036,,,,,100%,-7.0,-8.7,12,9,18,0,,0,,76,0,3,14
2008-09,27,DAL,NBA,C,34,452,,,,,100%,-7.7,-11.4,4,2,5,38,,2,,30,12,1,10
2008-09,27,CHA,NBA,C,41,584,,,,,100%,-6.4,-5.9,8,7,13,49,,7,,46,16,2,4
2009-10,28,CHA,NBA,C,27,262,,,,,100%,+5.0,+3.6,4,2,6,20,,1,,11,4,3,1
2010-11,29,CHA,NBA,C,16,181,,,,,100%,-10.1,-5.9,8,1,2,16,,1,,17,5,1,1
2011-12,30,CHA,NBA,C,27,325,,,,,100%,-20.6,-5.6,4,6,9,20,,6,,53,1,0,4
2012-13,31,CHA,NBA,C,22,226,,,,,100%,-4.1,+6.3,5,3,0,15,,0,0,27,1,0,0
