Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2001-02,20,CLE,NBA,C,18,1,109,4.0,9.6,.414,0.0,0.0,,4.0,9.6,.414,0.3,1.7,.200,1.7,4.0,5.6,1.7,0.3,3.3,4.0,6.3,8.3
2002-03,21,CLE,NBA,PF,80,1,943,2.1,5.9,.351,0.0,0.0,,2.1,5.9,.351,0.4,1.1,.367,2.4,5.8,8.2,1.6,1.3,3.1,2.1,5.7,4.5
2003-04,22,CLE,NBA,C,56,3,730,2.8,7.2,.388,0.0,0.0,,2.8,7.2,.388,0.6,1.0,.600,3.6,6.3,9.8,1.7,1.3,2.5,1.4,5.7,6.2
2004-05,23,CLE,NBA,C,39,0,306,2.4,8.1,.290,0.0,0.2,.000,2.4,7.9,.299,0.0,0.6,.000,3.5,4.7,8.2,1.8,0.9,3.2,1.4,6.2,4.7
2005-06,24,DAL,NBA,C,81,45,1510,1.8,3.7,.487,0.0,0.0,.500,1.8,3.6,.487,0.9,1.7,.542,3.5,5.5,8.9,0.5,1.0,3.5,0.9,6.0,4.5
2006-07,25,DAL,NBA,C,81,9,1480,1.7,3.7,.470,0.0,0.0,.000,1.7,3.6,.473,1.2,2.1,.558,4.0,6.6,10.7,0.7,1.0,2.7,1.5,5.9,4.6
2007-08,26,TOT,NBA,C,79,23,1295,2.6,5.0,.522,0.0,0.0,,2.6,5.0,.522,1.1,1.9,.543,4.4,6.4,10.9,1.1,0.7,2.4,1.6,4.1,6.3
2007-08,26,DAL,NBA,C,52,18,894,2.7,4.6,.583,0.0,0.0,,2.7,4.6,.583,1.0,1.6,.600,4.5,6.4,10.9,1.0,0.8,2.5,1.7,4.0,6.4
2007-08,26,NJN,NBA,C,27,5,401,2.4,5.8,.415,0.0,0.0,,2.4,5.8,.415,1.3,2.7,.467,4.4,6.6,11.0,1.3,0.5,2.2,1.4,4.1,6.1
2008-09,27,TOT,NBA,C,75,1,1036,2.6,5.9,.433,0.0,0.0,,2.6,5.9,.433,0.8,2.3,.333,4.0,5.5,9.5,1.1,1.0,1.9,1.4,4.4,5.9
2008-09,27,DAL,NBA,C,34,0,452,1.8,4.6,.379,0.0,0.0,,1.8,4.6,.379,1.0,2.3,.414,3.6,5.8,9.4,1.0,1.0,2.0,0.9,4.4,4.5
2008-09,27,CHA,NBA,C,41,1,584,3.2,7.0,.460,0.0,0.0,,3.2,7.0,.460,0.6,2.3,.270,4.3,5.3,9.6,1.2,1.0,1.9,1.7,4.5,7.0
2009-10,28,CHA,NBA,C,27,0,262,2.1,4.0,.517,0.0,0.0,,2.1,4.0,.517,0.3,1.2,.222,3.3,5.6,8.9,0.7,0.7,1.9,1.6,4.3,4.4
2010-11,29,CHA,NBA,C,16,0,181,1.6,4.8,.333,0.0,0.0,,1.6,4.8,.333,0.8,2.2,.364,2.4,5.6,8.0,1.4,0.8,3.0,2.2,5.2,4.0
2011-12,30,CHA,NBA,C,27,9,325,1.7,4.7,.357,0.0,0.0,,1.7,4.7,.357,0.1,0.7,.167,3.7,5.8,9.4,2.5,0.7,1.4,2.1,4.0,3.4
2012-13,31,CHA,NBA,C,22,1,226,1.3,4.3,.296,0.0,0.2,.000,1.3,4.1,.308,0.0,0.2,.000,1.6,6.5,8.1,2.1,0.8,2.5,1.3,3.0,2.5
