Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
DeSagana Diop,,4.1,3.8,3.0,1.4,1.0,0.4,0.0,-0.1,-0.1,-0.2,-0.2,-0.3
Chris Mihm,89.5,4.0,3.6,2.9,1.3,0.9,0.7,0.1,0.0,,,,
Lee Davis,78.8,4.6,3.7,2.1,1.5,0.6,0.2,0.2,-0.1,,,,
Rick Roberson,77.5,3.6,3.5,3.2,3.0,1.0,0.4,0.0,,,,,
Bismack Biyombo,75.4,5.9,4.0,3.2,1.4,0.6,,,,,,,
Dan Gadzuric,74.1,5.2,3.7,2.5,1.8,1.2,0.8,0.5,0.1,0.1,0.0,,
Rick Robey,74.0,5.5,3.7,3.1,1.9,1.4,0.9,-0.2,-0.6,,,,
George Peeples,74.0,4.1,3.2,2.1,1.5,0.2,0.0,,,,,,
Joel Anthony,73.3,3.4,3.3,3.1,1.7,1.2,1.2,0.6,0.4,0.2,,,
Noble Jorgensen,72.2,4.8,3.8,3.6,1.8,-0.5,,,,,,,
Leon Douglas,71.8,3.6,3.2,3.1,2.1,2.1,1.0,0.0,,,,,
