Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1998-99,19,CHH,NBA,SG,46,1,557,5.2,12.9,.405,0.1,0.8,.167,5.1,12.2,.420,2.9,3.8,.763,2.6,2.8,5.4,3.7,1.9,0.5,3.5,3.0,13.5
1999-00,20,CHH,NBA,SG,48,4,570,5.9,11.8,.503,0.0,0.3,.000,5.9,11.6,.514,2.5,3.2,.765,1.8,3.4,5.2,3.9,1.9,0.5,2.9,2.5,14.3
2000-01,21,MIA,NBA,SG,7,0,70,6.2,14.9,.414,0.5,0.5,1.000,5.7,14.4,.393,3.6,4.1,.875,0.5,3.1,3.6,5.7,2.6,1.0,2.6,3.6,16.5
2001-02,22,CLE,NBA,SF,82,8,1954,6.9,14.4,.481,0.2,0.6,.314,6.7,13.7,.489,3.6,4.6,.790,1.2,3.3,4.5,3.3,1.3,0.4,2.7,2.7,17.7
2002-03,23,CLE,NBA,SG,79,76,3131,6.9,16.9,.410,0.9,2.3,.363,6.1,14.6,.417,4.0,5.3,.748,1.1,3.4,4.5,5.0,1.4,0.4,3.2,2.1,18.7
2003-04,24,TOT,NBA,SF-SG,79,27,2474,6.5,13.8,.469,0.8,2.0,.371,5.7,11.8,.486,2.9,4.0,.718,1.1,4.1,5.2,3.8,1.4,0.3,2.8,2.5,16.6
2003-04,24,CLE,NBA,SG,22,22,796,6.1,14.1,.431,0.8,2.2,.354,5.3,11.9,.445,2.3,3.4,.680,0.8,4.7,5.5,5.0,1.1,0.4,3.1,2.3,15.2
2003-04,24,BOS,NBA,SF,57,5,1678,6.7,13.7,.488,0.8,2.0,.380,5.9,11.7,.506,3.1,4.2,.732,1.3,3.8,5.1,3.2,1.5,0.3,2.6,2.6,17.2
2004-05,25,BOS,NBA,SG,82,11,2696,6.4,13.9,.462,0.8,2.4,.339,5.6,11.5,.488,3.8,4.7,.815,0.9,2.4,3.3,3.3,1.2,0.4,2.7,2.3,17.5
2005-06,26,TOT,NBA,SG-SF,78,78,3207,6.6,14.6,.448,0.8,2.7,.302,5.7,11.9,.481,3.1,3.9,.797,0.7,3.2,3.9,4.4,1.0,0.2,2.4,2.1,17.0
2005-06,26,BOS,NBA,SG,42,42,1747,6.8,14.6,.464,0.8,2.6,.320,6.0,12.0,.495,2.7,3.4,.787,0.8,3.0,3.9,4.6,1.0,0.2,2.4,1.9,17.0
2005-06,26,MIN,NBA,SF,36,36,1460,6.3,14.7,.429,0.8,2.9,.282,5.5,11.8,.464,3.6,4.5,.807,0.6,3.4,4.0,4.3,1.0,0.2,2.4,2.4,17.0
2006-07,27,MIN,NBA,SF,81,81,3021,6.0,13.0,.465,1.5,3.7,.397,4.6,9.3,.492,2.8,3.4,.839,0.6,3.1,3.8,4.6,1.0,0.3,2.5,2.3,16.4
2007-08,28,MIA,NBA,SF,82,47,2963,5.1,11.8,.433,1.6,4.0,.405,3.5,7.8,.447,1.9,2.4,.787,0.7,3.6,4.3,3.4,1.1,0.2,2.3,2.3,13.7
2008-09,29,LAC,NBA,SG,36,9,785,3.8,11.2,.339,1.6,5.1,.315,2.2,6.1,.358,1.4,1.7,.861,0.4,2.3,2.8,3.8,0.9,0.2,1.8,2.9,10.6
2009-10,30,LAC,NBA,SF,36,2,499,4.5,10.3,.434,1.2,3.0,.381,3.3,7.3,.455,1.3,2.2,.581,0.7,3.4,4.1,2.8,0.8,0.2,2.1,2.8,11.4
