Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
2011-12,19,MIL,NBA,SF,42,479,,21%,69%,9%,,+0.8,+0.6,12,11,8,21,,6,,47,28,6,19
2012-13,20,TOT,NBA,SF-PF,55,1299,,1%,33%,62%,5%,-7.6,-3.4,25,18,23,0,,0,0,150,0,12,43
2012-13,20,MIL,NBA,SF,28,325,,3%,94%,3%,,-7.2,-5.8,7,5,6,17,,3,0,27,11,0,9
2012-13,20,ORL,NBA,PF,27,974,,,12%,82%,6%,-7.7,0.0,18,13,17,43,,12,4,123,52,12,34
2013-14,21,ORL,NBA,PF,61,1850,,,26%,74%,,-6.7,-1.6,17,40,21,68,0,19,2,191,113,33,54
2014-15,22,ORL,NBA,SF,68,2369,,,72%,28%,,-6.9,-2.1,43,37,35,59,2,23,4,278,106,31,70
2015-16,23,TOT,NBA,PF,76,2513,,,33%,67%,,+2.5,+2.7,28,49,31,0,0,0,0,408,0,34,71
2015-16,23,ORL,NBA,PF,49,1610,,,51%,49%,,-0.8,+1.3,26,33,19,44,3,11,7,240,68,20,47
2015-16,23,DET,NBA,PF,27,903,,,2%,98%,,+2.5,+2.7,2,16,12,32,0,10,0,168,43,14,24
2016-17,24,DET,NBA,PF,49,1599,,,31%,69%,,-2.3,-4.6,5,43,14,43,0,10,1,202,58,15,29
