Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1993-94,24,HOU,NBA,PG,22,0,478,7.0,17.9,.394,1.9,5.0,.378,5.1,12.9,.400,7.2,8.3,.865,2.1,4.5,6.6,10.4,2.3,0.6,5.3,6.9,23.1,,105,106
1994-95,25,HOU,NBA,PG,22,0,485,8.0,18.2,.438,2.6,6.5,.400,5.4,11.7,.459,7.6,9.1,.835,0.9,3.7,4.5,9.6,2.3,0.2,3.5,7.1,26.1,,118,114
1995-96,26,HOU,NBA,PG,8,0,206,6.5,20.2,.321,2.0,7.2,.276,4.5,13.0,.346,5.7,7.2,.793,0.2,4.0,4.2,8.5,1.5,0.2,4.5,5.0,20.7,,89,112
1997-98,28,NJN,NBA,PG,3,1,26,6.5,19.4,.333,0.0,0.0,,6.5,19.4,.333,0.0,0.0,,2.2,4.3,6.5,10.8,0.0,2.2,4.3,15.1,13.0,,83,118
1998-99,29,MIL,NBA,PG,3,3,102,8.5,17.1,.500,0.0,0.5,.000,8.5,16.5,.516,7.5,8.5,.875,0.0,3.2,3.2,13.9,1.6,0.0,3.7,7.5,24.5,,121,120
1999-00,30,MIL,NBA,PG,5,5,178,9.1,21.7,.417,0.3,1.5,.200,8.8,20.2,.433,5.4,6.3,.857,0.0,5.1,5.1,13.6,1.2,0.0,2.7,5.7,23.9,,111,109
2000-01,31,MIL,NBA,PG,18,18,682,8.8,22.2,.396,0.8,2.4,.333,8.0,19.8,.403,6.7,7.7,.866,1.0,5.7,6.6,9.6,1.5,0.2,4.1,6.1,25.0,,104,108
2002-03,33,MIL,NBA,PG,6,6,217,9.5,20.2,.470,2.7,5.1,.524,6.8,15.1,.452,3.4,3.7,.933,0.7,3.9,4.6,3.9,0.7,0.2,4.1,4.9,25.1,,102,115
2003-04,34,MIN,NBA,PG,16,15,497,10.1,21.7,.465,2.7,6.5,.417,7.4,15.3,.486,5.6,6.6,.852,0.3,4.0,4.3,7.5,1.3,0.3,4.6,5.7,28.5,,107,105
2005-06,36,LAC,NBA,PG,12,12,404,9.3,21.3,.437,1.9,5.5,.349,7.4,15.8,.468,7.0,8.7,.809,1.1,5.0,6.1,8.8,1.0,0.3,3.6,4.5,27.6,,114,111
2007-08,38,BOS,NBA,PG,21,0,264,7.8,23.5,.333,1.3,5.9,.214,6.6,17.6,.373,3.0,3.6,.824,0.4,2.8,3.2,5.3,1.7,0.2,2.5,6.3,19.9,,87,107
