Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
2001-02,19,WAS,NBA,PF,57,817,11.2,.450,.004,.407,8.9,19.4,14.1,8.4,1.1,2.4,13.0,18.6,,0.0,0.8,0.8,.048,,-3.5,0.0,-3.5,-0.3
2002-03,20,WAS,NBA,C,80,1773,13.6,.496,.006,.432,8.5,19.9,14.2,5.6,1.5,3.4,15.5,18.8,,0.2,2.3,2.5,.069,,-3.4,0.7,-2.7,-0.3
2003-04,21,WAS,NBA,PF,74,2239,15.7,.547,.003,.567,8.7,19.2,13.8,8.8,1.5,1.7,16.0,17.3,,2.9,2.0,4.9,.105,,-1.0,0.5,-0.5,0.8
2004-05,22,WAS,NBA,PF,42,908,10.4,.497,.000,.544,8.6,17.2,12.8,6.8,1.4,1.2,18.6,17.4,,-0.2,0.8,0.6,.032,,-3.9,-0.5,-4.4,-0.6
2005-06,23,LAL,NBA,C,72,1978,11.7,.545,.003,.606,10.8,17.3,14.1,5.6,0.7,1.8,16.9,13.6,,1.7,1.9,3.6,.088,,-2.0,0.3,-1.7,0.2
2006-07,24,LAL,NBA,C,41,1132,13.7,.573,.004,.554,8.4,16.7,12.6,10.2,1.8,3.3,20.2,15.0,,0.7,1.2,1.9,.080,,-1.4,2.1,0.7,0.8
2007-08,25,TOT,NBA,C,38,713,10.1,.497,.000,.690,8.1,20.8,14.7,9.0,1.6,2.3,21.6,14.6,,-0.3,1.0,0.6,.043,,-3.9,1.9,-2.0,0.0
2007-08,25,LAL,NBA,C,23,509,9.7,.503,.000,.621,7.0,20.9,14.3,7.7,1.6,2.7,22.0,14.6,,-0.3,0.8,0.5,.047,,-4.2,2.3,-1.9,0.0
2007-08,25,MEM,NBA,C,15,204,11.1,.482,.000,.872,10.9,20.5,15.7,12.3,1.5,1.4,20.6,14.8,,0.0,0.2,0.1,.034,,-3.3,0.9,-2.4,0.0
2008-09,26,DET,NBA,C,58,999,11.5,.546,.000,.722,10.7,24.0,17.2,4.9,1.3,1.9,18.3,13.0,,0.5,1.4,1.9,.093,,-3.1,1.2,-1.9,0.0
2009-10,27,DET,NBA,C,48,660,7.9,.470,.008,.790,9.1,24.3,16.2,5.1,1.2,1.5,20.5,14.7,,-0.6,0.5,-0.1,-0.009,,-5.3,-0.3,-5.6,-0.6
2010-11,28,CHA,NBA,C,66,1714,12.8,.550,.000,.616,10.3,21.6,15.9,4.1,0.8,1.8,12.6,14.9,,1.8,1.7,3.5,.097,,-2.2,-0.1,-2.3,-0.1
2011-12,29,GSW,NBA,C,9,187,11.1,.519,.000,.850,9.7,24.8,17.3,3.2,2.2,0.0,20.3,17.0,,-0.1,0.2,0.1,.031,,-4.7,-1.5,-6.2,-0.2
2012-13,30,PHI,NBA,C,22,269,8.8,.452,.000,.514,9.4,22.1,15.5,4.7,1.2,2.9,15.0,9.1,,0.0,0.4,0.4,.071,,-5.1,1.6,-3.5,-0.1
