Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
2001-02,19,WAS,NBA,PF,57,3,817,6.3,16.2,.387,0.0,0.1,.000,6.3,16.1,.388,4.7,6.6,.707,4.2,9.0,13.2,2.9,1.1,1.7,2.9,7.0,17.2,,96,105
2002-03,20,WAS,NBA,C,80,20,1773,6.9,15.4,.446,0.0,0.1,.000,6.9,15.3,.449,4.5,6.7,.668,3.9,9.2,13.1,1.8,1.5,2.5,3.4,4.9,18.2,,96,102
2003-04,21,WAS,NBA,PF,74,57,2239,6.7,13.7,.489,0.0,0.0,.500,6.7,13.6,.489,5.3,7.8,.683,4.1,8.6,12.8,2.6,1.5,1.2,3.3,3.3,18.7,,106,104
2004-05,22,WAS,NBA,PF,42,14,908,6.2,13.4,.460,0.0,0.0,,6.2,13.4,.460,4.2,7.3,.574,4.1,7.6,11.7,2.2,1.4,0.8,3.8,6.3,16.5,,96,108
2005-06,23,LAL,NBA,C,72,49,1978,5.4,10.4,.526,0.0,0.0,.000,5.4,10.3,.527,3.4,6.3,.545,4.9,7.8,12.6,1.9,0.7,1.2,2.7,5.2,14.3,,108,107
2006-07,24,LAL,NBA,C,41,28,1132,6.5,11.0,.591,0.0,0.0,.000,6.5,10.9,.593,2.7,6.1,.440,3.7,7.4,11.1,3.4,1.8,2.2,3.4,5.6,15.6,,104,106
2007-08,25,TOT,NBA,C,38,15,713,5.1,10.0,.507,0.0,0.0,,5.1,10.0,.507,2.8,6.9,.408,3.6,9.7,13.3,3.2,1.6,1.6,3.6,5.8,13.0,,94,105
2007-08,25,LAL,NBA,C,23,14,509,5.2,10.2,.515,0.0,0.0,,5.2,10.2,.515,2.6,6.3,.406,3.1,9.9,12.9,2.8,1.6,1.9,3.7,5.7,13.0,,92,103
2007-08,25,MEM,NBA,C,15,1,204,4.7,9.6,.487,0.0,0.0,,4.7,9.6,.487,3.5,8.4,.412,4.9,9.1,14.1,4.2,1.5,1.0,3.5,5.9,12.8,,98,109
2008-09,26,DET,NBA,C,58,30,999,5.0,9.4,.533,0.0,0.0,,5.0,9.4,.533,3.5,6.8,.516,5.0,11.0,16.1,1.8,1.3,1.3,2.8,7.6,13.5,,106,105
2009-10,27,DET,NBA,C,48,1,660,5.1,10.2,.500,0.0,0.1,.000,5.1,10.1,.504,2.7,8.0,.337,4.4,10.2,14.5,1.8,1.2,1.0,3.5,7.6,12.9,,89,110
2010-11,28,CHA,NBA,C,66,50,1714,6.1,11.7,.517,0.0,0.0,,6.1,11.7,.517,4.2,7.2,.589,4.6,9.5,14.1,1.3,0.8,1.2,2.2,5.4,16.4,,110,108
2011-12,29,GSW,NBA,C,9,3,187,5.8,11.1,.525,0.0,0.0,,5.8,11.1,.525,4.2,9.5,.441,4.4,11.4,15.8,1.1,2.2,0.0,3.9,5.8,15.8,,94,105
2012-13,30,PHI,NBA,C,22,11,269,3.3,7.3,.459,0.0,0.0,,3.3,7.3,.459,1.4,3.7,.368,4.5,10.0,14.5,1.8,1.2,2.0,1.6,7.3,8.0,,100,103
