Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2000-01,19,UTA,NBA,SG,40,2,293,3.8,11.2,.341,0.1,1.5,.083,3.7,9.7,.380,3.2,4.7,.684,1.1,2.3,3.4,2.2,1.2,0.2,3.4,3.6,10.9
2001-02,20,UTA,NBA,SG,67,23,1134,4.5,11.8,.385,0.1,0.8,.080,4.5,11.0,.408,1.2,1.7,.698,1.4,2.8,4.2,3.7,0.9,0.8,2.2,2.6,10.3
2002-03,21,UTA,NBA,SG,61,8,760,5.4,13.5,.401,0.2,0.6,.333,5.2,12.9,.404,2.2,3.2,.691,1.0,3.0,4.0,1.9,1.0,0.4,2.3,2.7,13.2
2003-04,22,TOT,NBA,SG-SF,80,78,2444,5.5,12.8,.432,0.3,1.0,.268,5.3,11.8,.446,2.0,3.0,.676,1.2,3.2,4.4,2.3,0.8,0.3,1.8,2.1,13.4
2003-04,22,UTA,NBA,SG,54,54,1511,6.2,14.0,.445,0.2,0.7,.233,6.1,13.2,.457,2.1,3.2,.669,1.0,3.2,4.2,2.2,0.7,0.4,1.9,2.0,14.7
2003-04,22,ORL,NBA,SF,26,24,933,4.4,11.0,.404,0.5,1.6,.293,4.0,9.4,.422,1.9,2.7,.690,1.4,3.2,4.6,2.5,0.9,0.0,1.5,2.1,11.2
2004-05,23,ORL,NBA,SG,55,27,1089,5.8,14.1,.408,0.8,2.2,.373,4.9,11.9,.415,1.9,3.3,.554,1.3,2.1,3.4,2.3,0.5,0.3,1.9,2.4,14.2
2005-06,24,ORL,NBA,SG,82,82,2648,4.9,10.6,.460,0.0,0.2,.133,4.9,10.4,.466,2.4,3.3,.744,0.8,2.5,3.3,2.2,0.8,0.2,1.7,2.4,12.2
2006-07,25,WAS,NBA,SG,82,82,2419,5.2,11.2,.461,1.1,2.7,.404,4.1,8.5,.479,2.3,3.2,.704,0.8,2.4,3.2,3.2,1.0,0.3,1.8,2.3,13.7
2007-08,26,WAS,NBA,SG,82,82,2564,4.2,11.0,.386,2.2,5.8,.383,2.0,5.2,.390,2.2,2.8,.797,0.5,2.8,3.3,3.5,0.9,0.2,1.4,1.5,12.9
2008-09,27,WAS,NBA,SG,32,25,886,2.9,9.4,.312,1.4,5.2,.271,1.5,4.1,.363,1.3,2.4,.533,0.4,2.6,3.1,4.0,0.9,0.1,1.3,1.7,8.6
2009-10,28,TOT,NBA,SG,64,18,883,1.9,6.6,.282,0.8,3.5,.218,1.1,3.1,.355,1.0,1.4,.714,0.4,3.3,3.7,2.3,0.7,0.2,1.2,3.0,5.5
2009-10,28,WAS,NBA,SG,40,13,616,1.7,6.0,.282,0.6,3.6,.177,1.1,2.4,.439,1.1,1.5,.720,0.4,3.4,3.8,2.6,0.6,0.3,1.4,3.0,5.1
2009-10,28,DAL,NBA,SG,24,5,267,2.3,8.1,.283,1.1,3.4,.320,1.2,4.7,.257,0.9,1.3,.700,0.5,3.0,3.5,1.6,0.7,0.1,0.8,3.1,6.6
2010-11,29,DAL,NBA,SG,72,54,1158,4.0,10.3,.388,2.9,7.7,.378,1.1,2.5,.420,1.0,1.3,.767,0.6,2.7,3.3,2.4,0.7,0.2,1.4,2.2,11.9
2011-12,30,NJN,NBA,SF,51,30,960,1.8,6.4,.285,1.5,5.4,.283,0.3,1.0,.296,0.3,0.6,.563,0.3,3.5,3.8,1.5,0.7,0.1,0.7,2.2,5.5
2012-13,31,ATL,NBA,SG,56,31,1158,3.0,8.1,.374,2.4,6.5,.364,0.7,1.6,.415,0.4,0.7,.522,0.6,3.2,3.8,1.6,0.9,0.2,0.7,2.1,8.8
