Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
2001-02,22,SEA,NBA,PG,64,964,11.6,.507,.208,.170,3.9,6.2,5.1,18.8,3.4,0.4,18.3,13.4,,0.7,0.8,1.5,.076,,-1.1,0.1,-1.0,0.2
2002-03,23,MEM,NBA,PG,79,1366,14.6,.505,.233,.220,3.8,9.6,6.7,25.7,3.4,0.7,17.0,17.0,,1.3,1.0,2.3,.080,,0.3,-0.1,0.2,0.8
2003-04,24,MEM,NBA,PG,81,1669,12.8,.438,.228,.297,3.3,8.8,6.0,37.5,2.9,0.8,21.8,18.1,,0.1,1.7,1.8,.052,,-1.2,-0.7,-1.9,0.0
2004-05,25,MEM,NBA,PG,80,1808,13.1,.500,.294,.249,2.3,8.5,5.4,34.2,2.5,0.8,21.4,20.4,,0.1,2.2,2.3,.062,,-0.8,-0.5,-1.3,0.3
2005-06,26,TOT,NBA,PG,70,1578,14.6,.558,.534,.218,1.8,10.1,5.9,29.0,2.2,0.5,19.6,19.7,,1.7,1.0,2.7,.081,,1.7,-1.8,-0.1,0.8
2005-06,26,DEN,NBA,PG,46,975,12.8,.563,.610,.209,2.1,8.2,5.2,25.3,1.9,0.5,19.6,17.6,,0.8,0.8,1.6,.080,,1.1,-1.6,-0.5,0.4
2005-06,26,SEA,NBA,PG,24,603,17.3,.552,.441,.229,1.4,13.2,7.2,34.9,2.7,0.4,19.6,23.1,,0.9,0.1,1.1,.084,,2.9,-2.2,0.7,0.4
2006-07,27,SEA,NBA,PG,77,2152,13.5,.483,.408,.214,1.9,8.5,5.2,31.4,2.4,0.8,18.2,19.4,,0.9,1.1,2.0,.044,,0.2,-1.4,-1.3,0.4
2007-08,28,SEA,NBA,PG,78,2269,14.6,.517,.177,.194,2.1,8.7,5.4,36.6,1.5,0.3,17.8,18.8,,1.7,1.1,2.9,.061,,0.2,-1.8,-1.6,0.3
2008-09,29,OKC,NBA,PG,68,1776,9.5,.448,.188,.234,2.3,9.7,5.9,33.4,1.4,0.5,23.8,16.3,,-1.2,1.1,-0.2,-0.005,,-3.4,-1.7,-5.0,-1.4
2009-10,30,IND,NBA,PG,79,2322,10.9,.517,.351,.323,2.5,8.8,5.6,25.6,2.2,0.5,22.6,14.7,,0.3,2.3,2.6,.055,,-1.6,0.2,-1.5,0.3
2010-11,31,UTA,NBA,PG,80,1567,10.2,.500,.349,.267,4.0,10.1,7.0,25.7,2.1,0.9,25.3,13.4,,0.2,0.8,1.0,.030,,-1.7,-0.9,-2.6,-0.3
2011-12,32,UTA,NBA,PG,50,1033,9.5,.413,.325,.288,3.3,10.2,6.7,28.9,2.7,1.7,32.0,11.5,,-0.6,0.9,0.4,.018,,-2.5,1.0,-1.5,0.1
2012-13,33,UTA,NBA,PG,48,829,7.7,.366,.233,.208,3.2,9.1,6.1,31.8,2.5,0.8,34.5,11.0,,-0.6,0.7,0.0,.001,,-4.1,-0.4,-4.5,-0.5
2013-14,34,POR,NBA,PG,24,161,2.1,.470,.636,.364,3.4,6.6,5.0,22.0,1.6,0.4,57.1,8.1,,-0.2,0.1,-0.1,-0.018,,-5.1,-0.5,-5.6,-0.1
