Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Earl Watson,,2.9,2.7,2.6,2.3,2.3,2.0,1.8,1.5,1.0,0.4,0.0,-0.1,-0.2
J.J. Barea,85.5,3.2,2.8,2.7,2.2,2.2,1.9,1.2,0.7,0.5,0.1,,,
C.J. Miles,81.6,3.6,3.1,2.9,2.6,2.5,2.5,1.9,1.9,1.5,0.3,-0.5,,
Rasual Butler,79.6,4.6,2.7,2.6,2.6,1.7,1.7,1.6,1.3,1.2,1.1,0.1,-0.1,-0.2
Scott Brooks,79.3,4.6,3.3,2.9,2.7,2.6,2.1,1.9,1.6,1.0,0.7,,,
Jerryd Bayless,78.9,4.0,2.7,2.4,2.4,2.4,2.0,1.6,0.3,,,,,
Steve Colter,78.3,3.3,3.1,2.7,2.6,2.3,1.7,1.4,0.3,,,,,
Tyronn Lue,78.1,3.7,3.7,2.7,2.5,2.1,2.0,1.2,0.8,0.4,0.3,0.2,,
Clint Richardson,77.3,3.3,3.1,2.4,2.1,1.9,1.8,1.1,1.0,,,,,
Danny Young,77.1,4.8,3.0,2.9,2.4,1.9,1.8,1.8,1.4,0.2,-0.1,,,
Mickael Pietrus,75.8,3.6,3.6,3.0,2.8,2.1,1.5,1.3,1.2,0.6,0.0,,,
