Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
2001-02,26,MIA,NBA,PG,15,119,48%,52%,,,,-15.7,-14.3,10,0,3,3,,2,,43,2,0,1
2002-03,27,MIA,NBA,PG,78,1722,69%,29%,2%,,,-2.2,+6.1,60,20,28,60,,20,,542,53,11,37
2003-04,28,TOT,NBA,PG,81,2196,99%,1%,,,,+1.5,-1.4,76,31,17,0,,0,,757,0,10,38
2003-04,28,BOS,NBA,PG,55,1684,100%,,,,,+0.1,+2.6,49,24,10,59,,6,,550,27,6,29
2003-04,28,DET,NBA,PG,26,512,98%,2%,,,,+6.4,-0.2,27,7,7,12,,5,,207,12,4,9
2004-05,29,TOT,NBA,PG,74,1859,91%,9%,,,,+4.3,+4.6,64,25,17,0,,0,,579,0,13,39
2004-05,29,MIL,NBA,PG,47,1167,90%,10%,,,,-1.2,+3.0,47,20,13,49,,9,,397,31,10,21
2004-05,29,HOU,NBA,PG,27,692,93%,7%,,,,+13.6,+10.7,17,5,4,21,,2,,182,19,3,18
2005-06,30,TOR,NBA,PG,79,2925,91%,9%,,,,-2.7,+3.1,101,52,53,72,,34,,1060,105,28,71
2006-07,31,MIN,NBA,PG,82,2069,98%,2%,,,,-5.5,-2.6,54,30,45,61,,25,,630,65,14,40
2007-08,32,TOT,NBA,PG,54,720,72%,28%,,,,-2.0,-8.5,16,9,11,0,,0,,130,0,3,15
2007-08,32,HOU,NBA,PG,33,537,70%,29%,1%,,,-2.5,-9.3,15,6,8,20,,3,,117,13,1,9
2007-08,32,NOH,NBA,PG,21,183,75%,25%,,,,-0.3,-6.7,1,3,3,6,,1,,13,4,2,6
2008-09,33,TOT,NBA,PG,61,1649,94%,6%,,,,-10.6,-9.3,51,24,19,0,,0,,439,0,8,37
2008-09,33,NOH,NBA,PG,8,74,100%,,,,,-32.9,-35.5,1,2,0,5,,0,,18,1,0,2
2008-09,33,WAS,NBA,PG,53,1575,93%,7%,,,,-9.6,-2.3,50,22,19,34,,9,,421,33,8,35
2009-10,34,WAS,NBA,PG,4,46,100%,,,,,+2.3,+7.9,3,1,1,1,,0,,12,3,0,1
2011-12,36,CHI,NBA,PG,11,120,55%,45%,,,,+31.9,+23.2,7,3,4,10,,2,,63,5,2,5
2012-13,37,DAL,NBA,PG,45,862,85%,15%,,,,+1.9,+3.3,38,8,9,35,,2,4,319,9,1,14
2013-14,38,CHI,NBA,PG,11,77,100%,,,,,-8.4,-10.7,4,1,0,6,0,0,0,36,1,0,2
