Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 <3,3P,2P,0-3,3-10,10-16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2001-02,26,MIA,NBA,PG,15,119,.349,19.6,.512,.047,.163,.047,.256,.488,.318,1.000,.143,.000,.364,.381,.571,.000,0,.875,.190,.500,1,0
2002-03,27,MIA,NBA,PG,78,1722,.373,15.6,.610,.248,.080,.051,.231,.390,.423,.538,.319,.433,.333,.294,.245,.003,2,.672,.193,.318,2,0
2003-04,28,TOT,NBA,PG,81,2196,.414,16.2,.572,.198,.096,.079,.199,.428,.441,.546,.349,.385,.405,.377,.373,.000,0,.887,.249,.429,0,0
2003-04,28,BOS,NBA,PG,55,1684,.418,16.7,.557,.175,.100,.076,.206,.443,.447,.539,.392,.385,.419,.381,.323,.000,0,.872,.257,.448,0,0
2003-04,28,DET,NBA,PG,26,512,.401,14.7,.626,.279,.082,.088,.177,.374,.424,.561,.167,.385,.346,.364,.538,.000,0,.950,.218,.333,0,0
2004-05,29,TOT,NBA,PG,74,1859,.441,15.1,.655,.253,.089,.073,.241,.345,.470,.505,.463,.382,.464,.386,.333,.000,0,.820,.324,.417,1,0
2004-05,29,MIL,NBA,PG,47,1167,.446,14.9,.670,.257,.093,.080,.239,.330,.477,.500,.512,.351,.482,.382,.313,.000,0,.810,.230,.429,1,0
2004-05,29,HOU,NBA,PG,27,692,.433,15.4,.632,.247,.082,.062,.244,.368,.457,.514,.375,.444,.437,.393,.369,.000,0,.833,.458,.408,0,0
2005-06,30,TOR,NBA,PG,79,2925,.469,14.3,.689,.254,.126,.061,.248,.311,.481,.561,.426,.320,.467,.442,.170,.002,2,.609,.160,.475,2,0
2006-07,31,MIN,NBA,PG,82,2069,.422,14.3,.694,.272,.107,.044,.270,.306,.445,.560,.427,.355,.353,.372,.300,.001,0,.888,.242,.385,1,0
2007-08,32,TOT,NBA,PG,54,720,.348,14.5,.666,.259,.128,.066,.214,.334,.363,.427,.459,.211,.274,.320,.414,.000,0,1.000,.278,.296,1,0
2007-08,32,HOU,NBA,PG,33,537,.350,14.9,.673,.243,.128,.062,.239,.327,.362,.418,.448,.214,.296,.324,.418,.000,0,1.000,.297,.273,1,0
2007-08,32,NOH,NBA,PG,21,183,.344,13.3,.641,.313,.125,.078,.125,.359,.366,.450,.500,.200,.125,.304,.400,.000,0,1.000,.217,.400,0,0
2008-09,33,TOT,NBA,PG,61,1649,.383,15.6,.642,.208,.125,.058,.251,.358,.388,.495,.172,.233,.442,.375,.352,.000,0,.913,.207,.342,0,0
2008-09,33,NOH,NBA,PG,8,74,.320,11.5,.840,.360,.120,.080,.280,.160,.238,.222,.333,.000,.286,.750,.000,.000,0,1.000,.250,1.000,0,0
2008-09,33,WAS,NBA,PG,53,1575,.387,15.8,.632,.200,.125,.057,.249,.368,.398,.520,.164,.250,.451,.367,.366,.000,0,.909,.206,.324,0,0
2009-10,34,WAS,NBA,PG,4,46,.300,17.3,.700,.050,.200,.050,.400,.300,.286,.000,.250,1.000,.250,.333,.500,.000,0,1.000,.500,.667,0,0
2011-12,36,CHI,NBA,PG,11,120,.408,10.8,.796,.265,.327,.102,.102,.204,.359,.462,.375,.200,.200,.600,.143,.000,0,.833,.500,.400,0,0
2012-13,37,DAL,NBA,PG,45,862,.373,16.3,.539,.144,.210,.044,.140,.461,.363,.513,.351,.167,.289,.384,.132,.000,0,.917,.384,.333,1,0
2013-14,38,CHI,NBA,PG,11,77,.238,15.5,.762,.000,.429,.000,.333,.238,.250,,.333,,.143,.200,.000,.000,0,1.000,.000,,0,0
