Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Mike James,,7.6,5.2,4.3,2.8,1.8,0.4,0.3,0.3,0.0,-0.1,-0.1,-0.1
Gene Littles,87.1,7.7,4.8,4.2,3.6,1.6,1.4,,,,,,
Ted McClain,86.3,7.0,4.2,4.1,2.7,2.0,0.8,0.5,-0.1,,,,
Eric Murdock,84.8,7.2,6.1,4.3,4.1,2.5,0.6,0.4,0.3,0.1,,,
Jeff McInnis,83.8,6.9,5.1,4.9,4.1,1.1,0.3,0.3,0.2,0.1,0.1,-0.1,
Lewis Lloyd,83.0,6.3,4.7,4.6,2.6,1.6,0.1,0.0,,,,,
Bobby Simmons,80.7,6.8,5.3,3.4,2.0,0.9,0.7,0.7,0.3,0.1,0.0,,
Josh Childress,80.3,7.6,5.7,5.5,4.6,1.4,0.9,0.1,0.0,,,,
Martell Webster,80.3,6.3,5.0,4.4,3.5,1.8,1.5,1.3,0.9,0.0,0.0,,
Larry Drew,80.0,7.2,4.6,3.6,3.0,2.8,1.4,1.2,0.5,0.1,0.0,,
Phil Ford,79.9,6.1,5.7,5.2,2.9,2.4,0.9,0.2,,,,,
