Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
Career,,,NBA,,652,12964,15.7,.516,.222,.288,2.4,5.3,3.9,26.9,1.6,0.2,11.9,21.9,,20.4,5.6,26.0,.096,,0.9,-3.2,-2.3,-1.1
4 seasons,,DEN,NBA,,255,6430,16.6,.519,.238,.293,2.2,5.5,3.8,26.6,1.6,0.2,10.7,22.8,,11.5,3.9,15.4,.115,,1.5,-2.9,-1.4,0.9
2 seasons,,MIL,NBA,,92,2016,16.1,.541,.269,.264,2.3,5.3,3.8,25.5,1.8,0.1,12.6,21.6,,3.2,1.1,4.3,.101,,1.3,-2.6,-1.4,0.3
2 seasons,,LAC,NBA,,78,910,14.5,.463,.148,.231,3.9,4.2,4.0,32.7,1.5,0.2,12.5,21.2,,1.1,0.2,1.3,.069,,-0.1,-4.0,-4.1,-0.5
1 season,,GSW,NBA,,68,1321,17.6,.543,.166,.431,2.9,4.2,3.5,26.8,1.5,0.2,11.7,20.1,,3.9,-0.4,3.5,.127,,2.2,-4.6,-2.3,-0.1
1 season,,WAS,NBA,,67,1117,12.9,.498,.149,.221,1.7,6.1,3.9,25.3,1.1,0.2,13.5,20.7,,0.6,0.3,1.0,.042,,-1.4,-3.3,-4.7,-0.8
2 seasons,,CLE,NBA,,42,423,14.1,.485,.194,.153,4.7,5.8,5.3,31.7,2.1,0.2,14.2,22.6,,0.2,0.3,0.5,.056,,0.1,-2.8,-2.7,-0.1
1 season,,CHA,NBA,,36,577,10.0,.467,.256,.343,1.8,5.0,3.4,26.0,1.2,0.0,17.2,19.0,,-0.1,0.1,0.0,.001,,-3.2,-3.9,-7.1,-0.7
1 season,,HOU,NBA,,8,111,10.3,.458,.250,.417,0.0,11.6,5.7,23.0,0.5,0.0,14.1,20.3,,0.0,0.0,0.1,.029,,-3.2,-3.1,-6.3,-0.1
1 season,,NJN,NBA,,5,51,9.3,.500,.238,.000,2.1,6.9,4.3,23.3,1.0,0.0,25.0,24.2,,-0.1,0.0,-0.1,-0.073,,-4.0,-4.5,-8.6,-0.1
1 season,,ORL,NBA,,1,8,44.0,.750,.000,.000,13.7,0.0,6.8,87.8,0.0,0.0,0.0,21.0,,0.1,0.0,0.1,.582,,20.2,-7.2,13.0,0.0
