Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1998-99,22,TOT,NBA,PG,22,0,221,7.4,19.6,.380,0.7,4.5,.167,6.7,15.1,.443,0.5,0.7,.667,1.7,2.5,4.2,8.2,1.5,0.0,5.0,5.0,16.1,,81,107
1998-99,22,NJN,NBA,PG,5,0,51,10.3,21.6,.476,1.0,5.1,.200,9.3,16.5,.563,0.0,0.0,,1.0,3.1,4.1,6.2,1.0,0.0,7.2,3.1,21.6,,84,110
1998-99,22,CLE,NBA,PG,17,0,170,6.5,19.0,.345,0.7,4.2,.154,5.9,14.7,.400,0.7,1.0,.667,2.0,2.3,4.2,8.8,1.6,0.0,4.2,5.6,14.4,,80,107
1999-00,23,TOT,NBA,PG,26,0,261,10.8,22.3,.483,1.5,3.8,.400,9.2,18.4,.500,3.5,4.4,.783,2.3,2.7,5.0,9.2,2.3,0.2,3.3,4.4,26.5,,112,106
1999-00,23,ORL,NBA,PG,1,0,8,18.5,24.7,.750,0.0,0.0,,18.5,24.7,.750,0.0,0.0,,6.2,0.0,6.2,18.5,0.0,0.0,0.0,0.0,37.0,,170,112
1999-00,23,CLE,NBA,PG,25,0,253,10.5,22.2,.473,1.6,4.0,.400,8.9,18.2,.489,3.6,4.6,.783,2.2,2.8,5.0,8.9,2.4,0.2,3.4,4.6,26.2,,110,106
2000-01,24,LAC,NBA,PG,10,0,149,9.0,22.6,.397,0.4,2.9,.125,8.6,19.8,.436,5.0,6.1,.824,1.4,2.5,4.0,11.5,1.8,0.0,3.2,3.2,23.4,,104,108
2001-02,25,LAC,NBA,PG,68,2,761,7.7,19.3,.400,0.9,2.9,.310,6.8,16.3,.416,3.3,4.3,.770,1.9,1.9,3.8,10.2,1.4,0.1,3.1,3.1,19.6,,105,111
2002-03,26,GSW,NBA,PG,68,0,1321,7.7,17.9,.429,1.1,3.0,.377,6.6,14.9,.439,6.7,7.7,.865,1.3,2.0,3.4,8.5,1.5,0.2,2.8,2.9,23.1,,118,114
2003-04,27,DEN,NBA,SG,82,3,1849,8.9,21.3,.419,1.5,4.8,.322,7.4,16.5,.447,3.9,4.5,.877,1.2,2.8,4.0,8.2,1.4,0.1,2.8,2.3,23.3,,107,108
2004-05,28,DEN,NBA,PG,82,5,2162,8.1,19.6,.413,1.3,3.9,.337,6.7,15.6,.432,6.6,7.2,.921,0.9,2.5,3.4,8.8,1.9,0.3,2.9,2.9,24.1,,112,108
2005-06,29,DEN,NBA,PG,60,0,1542,9.0,21.9,.410,2.1,5.9,.346,6.9,16.0,.434,5.0,5.8,.874,0.7,2.0,2.7,7.6,1.6,0.1,2.8,2.4,25.1,,107,110
2006-07,30,TOT,NBA,PG,66,23,2031,8.1,19.2,.420,2.4,6.0,.397,5.7,13.2,.430,5.5,6.1,.898,1.2,2.2,3.5,7.3,1.4,0.0,3.0,2.3,24.0,,113,113
2006-07,30,DEN,NBA,PG,31,4,877,8.8,21.2,.413,2.3,6.2,.373,6.5,15.1,.429,6.7,7.4,.908,1.3,2.2,3.5,7.4,1.4,0.1,2.9,1.7,26.5,,114,111
2006-07,30,MIL,NBA,PG,35,19,1154,7.5,17.6,.427,2.4,5.8,.419,5.1,11.8,.431,4.5,5.1,.886,1.2,2.3,3.4,7.2,1.4,0.0,3.1,2.7,22.0,,113,115
2007-08,31,CHA,NBA,PG,36,0,577,5.5,15.6,.355,1.3,4.0,.318,4.3,11.6,.367,4.4,5.3,.831,0.8,2.3,3.1,8.7,1.2,0.0,3.7,1.9,16.8,,97,114
2009-10,33,WAS,NBA,PG,67,1,1117,8.1,18.9,.427,0.9,2.8,.317,7.2,16.1,.446,3.6,4.2,.865,0.8,2.7,3.5,8.0,1.1,0.1,3.2,2.3,20.6,,103,114
2010-11,34,MIL,NBA,PG,57,0,862,9.7,21.8,.443,1.7,4.4,.380,8.0,17.4,.459,4.3,5.1,.841,0.9,2.5,3.4,8.7,2.4,0.2,3.2,2.7,25.3,,108,105
2011-12,35,HOU,NBA,PG,8,0,111,5.7,17.0,.333,0.9,4.2,.222,4.7,12.7,.370,6.1,7.1,.867,0.0,5.2,5.2,8.0,0.5,0.0,3.3,2.4,18.4,,98,110
