Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 <3,3P,2P,0-3,3-10,10-16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2009-10,22,CHI,NBA,PF,65,757,.452,10.2,.781,.500,.062,.038,.181,.219,.488,.600,.308,.375,.263,.326,.575,.124,23,.933,.478,.455,1,0
2010-11,23,TOT,NBA,SF,38,822,.456,10.2,.857,.435,.135,.059,.228,.143,.493,.699,.188,.429,.296,.235,.530,.139,29,.875,.471,.438,1,0
2010-11,23,CHI,NBA,SF,13,123,.415,12.3,.780,.293,.171,.073,.244,.220,.469,.750,.286,.333,.300,.222,.400,.098,4,1.000,.333,.667,0,0
2010-11,23,TOR,NBA,SF,25,699,.464,9.7,.872,.464,.128,.056,.224,.128,.497,.692,.160,.455,.295,.240,.553,.148,25,.833,.520,.385,1,0
2011-12,24,TOR,NBA,SF,62,1561,.450,10.1,.884,.396,.166,.073,.249,.116,.467,.620,.419,.342,.295,.317,.505,.091,39,.895,.417,.280,2,0
2012-13,25,SAC,NBA,SF,54,878,.413,9.3,.926,.389,.226,.053,.258,.074,.439,.582,.406,.200,.301,.095,.470,.081,21,1.000,.381,.125,1,0
2013-14,26,MEM,NBA,SF,52,956,.464,10.4,.718,.477,.136,.029,.075,.282,.548,.612,.429,.778,.261,.253,.347,.146,42,.955,.264,.348,1,0
2014-15,27,TOR,NBA,PF,70,1370,.589,6.8,.874,.522,.248,.042,.062,.126,.643,.777,.490,.235,.400,.216,.458,.126,50,1.000,.471,.292,0,0
2015-16,28,TOR,NBA,PF,57,926,.475,9.3,.725,.475,.167,.029,.054,.275,.540,.632,.400,.286,.308,.303,.340,.067,16,1.000,.515,.265,1,0
2016-17,29,MIA,NBA,PF,45,1176,.473,12.8,.630,.372,.138,.060,.058,.370,.540,.597,.439,.560,.417,.359,.319,.043,18,.945,.333,.412,4,0
