Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
2000-01,23,NJN,NBA,PG,67,2557,88%,12%,,,,-5.4,+0.7,106,46,45,40,,30,,1116,174,41,90
2001-02,24,PHO,NBA,PG,82,3187,100%,,,,,-1.8,-5.3,172,62,50,53,,34,,1439,193,42,92
2002-03,25,PHO,NBA,PG,81,3240,100%,,,,,+1.3,+1.0,148,63,52,56,,29,,1485,176,47,107
2003-04,26,TOT,NBA,PG,81,3254,97%,3%,,,,-1.8,+1.9,168,56,25,0,,0,,1576,0,39,51
2003-04,26,PHO,NBA,PG,34,1415,100%,,,,,-2.7,+2.2,61,28,8,27,,6,,614,78,13,22
2003-04,26,NYK,NBA,PG,47,1839,95%,5%,,,,-1.0,+1.2,107,28,17,42,,11,,962,98,26,29
2004-05,27,NYK,NBA,PG,82,3281,97%,3%,,,,-0.9,+11.9,130,63,40,73,,22,,1478,221,50,88
2005-06,28,NYK,NBA,PG,60,2193,78%,22%,,,,-6.7,+0.6,96,29,32,53,,20,,832,141,36,51
2006-07,29,NYK,NBA,PG,74,2748,82%,18%,,,,-4.0,-1.7,78,45,56,80,,31,,890,181,32,67
2007-08,30,NYK,NBA,PG,24,805,70%,30%,,,,-11.2,-4.8,33,8,7,32,,5,,253,58,16,17
2008-09,31,BOS,NBA,PG,23,414,18%,79%,3%,,,-3.0,-12.7,17,10,10,7,,2,,176,7,6,11
