Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Tony Battie,,6.2,5.8,3.8,3.8,3.3,2.8,2.7,2.3,2.3,2.0,0.6,0.5,0.5,0.0,,,,
Benoit Benjamin,86.4,5.4,5.1,4.1,4.0,3.0,2.3,2.2,2.2,2.0,1.1,0.9,0.4,0.0,0.0,-0.1,,,
Greg Ostertag,86.0,5.9,5.0,4.2,3.8,3.8,3.4,2.2,2.1,1.4,1.3,0.7,,,,,,,
George Johnson,85.7,5.0,4.5,3.6,3.5,3.4,2.6,2.6,2.5,2.0,1.3,1.0,0.6,0.3,,,,,
Kent Benson,84.8,6.4,5.2,4.7,3.3,3.2,3.2,3.1,1.7,1.7,1.1,0.0,,,,,,,
Ervin Johnson,84.5,6.4,5.2,5.1,4.9,3.9,3.0,2.3,2.3,1.9,1.3,0.8,0.7,0.0,,,,,
Nazr Mohammed,83.9,4.6,4.5,3.7,3.6,3.4,3.3,2.7,2.5,2.3,1.3,1.2,0.8,0.4,0.1,0.0,0.0,0.0,-0.1
Wayne Cooper,83.7,5.1,5.0,4.1,3.5,2.9,2.9,2.8,2.7,2.0,1.5,1.4,1.2,1.2,0.7,,,,
Alton Lister,82.2,5.5,5.3,4.1,4.1,4.0,3.8,3.7,1.9,1.7,1.0,0.9,0.4,0.3,0.1,0.0,-0.2,,
Zaza Pachulia,82.0,6.0,5.0,4.8,4.2,3.9,3.9,3.1,2.9,2.7,2.7,1.7,1.1,0.3,,,,,
Leroy Ellis,81.9,6.4,5.8,4.7,4.3,3.8,3.6,3.2,2.8,2.5,2.3,2.3,2.1,1.6,0.9,,,,
