Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
1997-98,24,DEN,NBA,PG,68,2042,13.6,.453,.102,.231,4.4,13.3,8.7,29.5,2.8,0.4,17.4,23.5,,-1.3,0.7,-0.6,-0.014,,-1.2,-1.0,-2.2,-0.1
1998-99,25,MIN,NBA,PG,50,941,14.4,.461,.078,.227,4.7,11.9,8.0,28.9,2.2,0.2,16.4,21.4,,0.3,0.9,1.2,.062,,-1.0,-0.7,-1.7,0.1
1999-00,26,MIN,NBA,PG,73,1034,14.6,.474,.133,.283,5.6,11.7,8.6,24.6,2.4,0.5,13.0,19.5,,1.0,1.1,2.2,.101,,-0.2,-0.4,-0.6,0.4
2000-01,27,SAC,NBA,PG,79,1648,13.1,.501,.198,.167,5.0,11.0,8.0,15.3,2.7,0.3,15.4,17.9,,0.9,2.3,3.1,.091,,-0.8,0.8,0.0,0.8
2001-02,28,SAC,NBA,PG,81,1750,17.3,.537,.290,.244,5.1,10.1,7.7,14.7,2.1,0.4,10.0,23.1,,3.2,2.2,5.4,.148,,2.0,-0.7,1.3,1.5
2002-03,29,SAC,NBA,PG,59,1676,18.4,.561,.321,.204,3.8,9.8,7.0,17.7,2.1,0.1,11.7,23.8,,3.3,2.2,5.5,.157,,3.0,-0.6,2.4,1.9
2003-04,30,SAC,NBA,SG,50,1185,19.2,.538,.370,.184,5.4,11.1,8.3,15.8,2.1,0.5,9.0,26.8,,2.3,0.8,3.1,.124,,3.4,-2.4,1.0,0.9
2004-05,31,SAC,NBA,SG,25,536,18.0,.537,.376,.227,4.8,12.9,8.9,18.2,1.3,0.3,9.1,25.6,,1.1,0.3,1.4,.126,,2.7,-2.9,-0.2,0.2
2005-06,32,MEM,NBA,PG,71,1775,14.6,.497,.444,.195,3.0,12.1,7.6,20.7,1.9,0.0,11.1,25.0,,1.0,2.5,3.5,.095,,1.1,-1.0,0.1,0.9
2006-07,33,NOK,NBA,SG,56,1330,15.1,.500,.319,.324,3.6,12.1,7.7,17.9,2.0,0.4,11.6,23.0,,1.2,1.3,2.5,.088,,0.7,-0.6,0.1,0.7
2007-08,34,TOT,NBA,SG-PG,72,1389,13.5,.510,.447,.160,2.7,12.4,7.5,15.9,1.7,0.3,9.8,20.0,,1.3,1.7,3.0,.105,,0.3,-0.4,-0.1,0.7
2007-08,34,NOH,NBA,SG,46,891,12.9,.512,.486,.166,2.9,11.7,7.2,12.8,1.9,0.3,8.9,18.2,,0.9,1.0,1.9,.100,,0.4,-0.3,0.1,0.5
2007-08,34,HOU,NBA,PG,26,498,14.6,.509,.390,.152,2.3,13.6,8.0,21.7,1.4,0.3,11.1,23.1,,0.4,0.8,1.2,.114,,0.2,-0.5,-0.3,0.2
2008-09,35,SAC,NBA,PG,71,1484,12.4,.502,.406,.208,3.3,12.5,7.9,15.5,2.1,0.2,11.1,18.0,,0.8,0.4,1.2,.038,,-0.5,-1.7,-2.2,-0.1
