Player,Sim,1,2,3,4,5,6,7,8
Jason Smith,,2.2,1.8,1.7,1.6,1.5,1.2,0.9,0.7
Jud Buechler,88.3,2.3,1.9,1.8,1.5,1.2,1.2,0.5,0.4
Corie Blount,83.5,2.6,2.5,1.8,1.7,1.2,0.9,0.8,0.7
Pete Chilcutt,82.5,2.1,2.0,1.5,1.4,1.1,1.0,0.7,0.3
Steve Kuberski,81.5,2.6,2.3,1.7,1.7,1.2,1.1,0.6,0.2
Ryan Bowen,79.7,3.1,2.1,1.7,1.5,1.4,1.1,0.8,0.2
Tom Hammonds,78.7,2.6,2.2,1.8,1.7,0.8,0.8,0.6,0.5
Jeff Grayer,78.1,1.9,1.8,1.5,1.5,1.5,0.4,0.3,0.2
Bill Willoughby,77.5,3.0,2.6,1.8,1.5,1.2,1.2,1.1,0.9
Earl Cureton,77.3,2.7,2.6,2.1,2.0,1.2,1.0,0.8,0.7
Damien Wilkins,76.9,2.8,1.9,1.7,1.5,1.0,1.0,0.4,0.0
