Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
Career,,,NBA,,545,12753,100%,,,,,-5.2,-0.5,658,137,116,433,0,44,0,6636,315,76,201
3 seasons,,CHA,NBA,,180,5568,100%,,,,,-4.6,+0.5,290,57,59,217,0,19,0,3256,225,49,104
2 seasons,,MEM,NBA,,108,2079,100%,,,,,-5.5,+0.9,143,34,28,87,0,19,0,1139,42,10,36
1 season,,LAC,NBA,,74,1674,100%,,,,,-10.4,-3.7,57,10,4,81,0,2,0,719,28,4,11
1 season,,UTA,NBA,,74,938,100%,,,,,+4.4,+2.1,48,8,10,48,0,4,0,410,20,4,14
1 season,,ATL,NBA,,47,1364,100%,,,,,-8.0,-3.3,63,11,10,55,0,2,0,622,22,3,20
1 season,,WAS,NBA,,32,598,100%,,,,,-12.0,-7.1,38,6,0,17,0,0,0,215,8,3,7
1 season,,MIL,NBA,,21,420,100%,,,,,+5.8,+5.0,13,7,5,16,0,3,0,213,13,3,8
1 season,,CLE,NBA,,6,93,100%,,,,,-10.0,-5.4,3,4,0,4,0,0,0,54,2,0,1
1 season,,PHO,NBA,,3,19,100%,,,,,+14.3,+18.5,3,0,0,0,0,0,0,8,0,0,0
