Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1992-93,22,CHH,NBA,C,9,9,367,71,148,.480,0,2,.000,71,146,.486,.480,72,93,.774,28,61,89,13,6,31,37,37,214
1994-95,24,CHH,NBA,C,4,4,174,24,57,.421,4,8,.500,20,49,.408,.456,36,43,.837,14,39,53,11,3,13,14,17,88
1995-96,25,MIA,NBA,C,3,3,92,17,35,.486,0,0,,17,35,.486,.486,20,28,.714,3,15,18,4,2,3,16,13,54
1996-97,26,MIA,NBA,C,17,17,630,107,218,.491,3,8,.375,104,210,.495,.498,86,155,.555,44,129,173,18,11,46,70,73,303
1997-98,27,MIA,NBA,C,4,4,138,29,56,.518,0,0,,29,56,.518,.518,19,29,.655,10,24,34,5,3,10,8,18,77
1998-99,28,MIA,NBA,C,5,5,194,38,73,.521,0,0,,38,73,.521,.521,32,49,.653,7,34,41,4,8,14,12,19,108
1999-00,29,MIA,NBA,C,10,10,376,76,157,.484,0,1,.000,76,156,.487,.484,64,96,.667,31,69,100,14,2,33,24,40,216
2000-01,30,MIA,NBA,C,3,3,91,12,25,.480,0,0,,12,25,.480,.480,11,19,.579,3,13,16,3,0,5,5,9,35
2004-05,34,MIA,NBA,C,15,2,254,31,44,.705,0,0,,31,44,.705,.705,29,52,.558,21,51,72,5,5,33,22,49,91
2005-06,35,MIA,NBA,C,21,0,226,26,37,.703,0,0,,26,37,.703,.703,28,42,.667,17,44,61,3,5,24,17,49,80
2006-07,36,MIA,NBA,C,4,0,55,10,11,.909,0,0,,10,11,.909,.909,5,13,.385,1,7,8,1,0,3,1,6,25
