Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1996-97,20,VAN,NBA,PF,80,71,2802,7.1,15.6,.453,0.1,0.3,.259,7.0,15.3,.457,5.0,6.7,.746,2.8,4.4,7.1,2.2,1.0,1.0,2.9,2.6,19.2
1997-98,21,VAN,NBA,SF,82,82,2950,8.0,16.4,.485,0.3,0.6,.412,7.7,15.8,.488,6.1,7.8,.784,2.8,4.3,7.1,2.6,1.1,0.9,3.1,2.5,22.3
1998-99,22,VAN,NBA,SF,50,50,2021,6.9,15.9,.432,0.2,0.6,.306,6.7,15.3,.438,6.6,7.8,.841,2.0,4.6,6.7,3.1,1.2,1.0,3.3,2.4,20.5
1999-00,23,VAN,NBA,SF,82,82,3223,6.6,14.3,.465,0.3,1.1,.302,6.3,13.2,.478,5.0,6.2,.809,2.4,6.8,9.2,3.0,1.0,1.0,2.8,2.7,18.6
2000-01,24,VAN,NBA,SF,81,81,3241,6.7,14.2,.472,0.1,0.7,.188,6.6,13.5,.487,4.9,5.9,.834,1.9,6.2,8.2,2.8,1.0,0.9,2.6,2.6,18.5
2001-02,25,ATL,NBA,PF,77,77,2980,7.2,15.7,.461,0.3,0.8,.300,7.0,14.8,.470,5.1,6.3,.801,2.4,6.0,8.4,2.9,1.2,1.0,3.0,2.6,19.8
2002-03,26,ATL,NBA,PF,81,81,3087,6.6,13.8,.478,0.2,0.7,.350,6.4,13.1,.485,5.3,6.3,.841,2.0,5.9,7.9,2.8,1.0,0.4,2.5,2.8,18.8
2003-04,27,TOT,NBA,PF,85,56,2684,6.7,14.1,.475,0.1,0.5,.265,6.6,13.7,.482,5.0,5.8,.869,2.5,6.0,8.6,2.3,0.9,0.5,2.5,3.0,18.6
2003-04,27,ATL,NBA,PF,53,53,1956,7.0,14.5,.485,0.1,0.4,.217,7.0,14.1,.493,5.4,6.1,.880,2.6,6.5,9.1,2.3,0.8,0.3,2.4,2.7,19.6
2003-04,27,POR,NBA,PF,32,3,728,5.8,13.1,.447,0.2,0.5,.364,5.6,12.5,.451,3.9,4.7,.832,2.4,4.7,7.1,2.3,1.2,0.9,2.6,3.7,15.8
2004-05,28,POR,NBA,PF,54,49,1867,6.5,12.9,.503,0.3,0.8,.385,6.2,12.2,.510,4.2,4.9,.866,2.4,5.2,7.6,2.1,0.9,0.5,2.3,2.9,17.5
2005-06,29,SAC,NBA,PF,72,30,1961,6.1,11.6,.525,0.1,0.4,.227,6.0,11.2,.536,4.0,5.1,.784,1.9,4.6,6.6,2.7,0.9,0.8,2.0,4.2,16.3
2006-07,30,SAC,NBA,C,80,45,2015,5.5,11.7,.474,0.1,0.4,.150,5.5,11.3,.484,3.0,4.2,.726,2.2,4.9,7.1,1.9,0.9,0.7,2.1,4.3,14.2
2007-08,31,SAC,NBA,PF,6,0,51,2.1,9.9,.214,0.0,0.0,,2.1,9.9,.214,2.8,2.8,1.000,4.2,2.8,7.1,2.8,0.7,0.0,0.7,6.4,7.1
