Player,Sim,1,2,3,4,5,6,7,8
Darrell Arthur,,3.8,2.3,1.7,1.7,0.9,0.7,0.3,
Jarvis Hayes,85.8,2.9,2.1,1.7,1.5,0.8,0.7,0.5,
Anthony Bonner,85.6,4.1,2.4,1.8,1.6,0.7,0.0,,
Don Adams,84.2,3.6,2.9,1.6,1.1,0.9,0.8,0.7,
Tim Bassett,82.2,3.7,2.6,2.4,1.5,1.4,1.1,0.1,
Mark Landsberger,82.2,3.4,2.2,2.2,1.9,1.7,0.4,0.3,
Gus Gerard,82.1,4.3,1.9,1.5,1.3,1.3,0.5,0.3,
Wally Walker,81.4,3.5,2.1,2.0,1.9,1.8,0.9,0.5,0.1
McCoy McLemore,80.9,2.7,2.1,1.8,1.7,0.7,0.4,0.4,-0.3
Darren Daye,80.8,3.8,2.4,1.3,1.2,0.6,,,
Al Tucker,80.2,3.5,2.3,2.3,2.1,1.1,,,
