Player,Sim,1,2,3,4,5,6,7
Darrell Arthur,,3.8,2.3,1.7,1.7,0.9,0.7,0.3
Jarvis Hayes,85.8,2.9,2.1,1.7,1.5,0.8,0.7,0.5
Anthony Bonner,85.6,4.1,2.4,1.8,1.6,0.7,0.0,
Matt Bullard,85.6,3.4,2.5,2.4,1.7,1.0,0.6,0.2
Ryan Bowen,85.2,3.1,2.1,1.7,1.4,1.1,0.8,0.2
Barry Clemens,84.9,3.5,2.8,1.8,1.7,0.9,0.1,0.1
Brian Skinner,84.4,4.1,2.7,1.9,1.9,0.9,0.3,0.1
Don Adams,84.2,3.6,2.9,1.6,1.1,0.9,0.8,0.7
Steve Kuberski,82.5,2.6,2.3,1.7,1.7,1.2,0.6,0.2
Tim Bassett,82.2,3.7,2.6,2.4,1.5,1.4,1.1,0.1
Mark Landsberger,82.2,3.4,2.2,2.2,1.9,1.7,0.4,0.3
