Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
1997-98,20,PHI,NBA,SF,77,1779,14.9,.538,.250,.338,6.9,11.8,9.3,9.3,1.6,0.7,13.1,22.8,,2.1,1.3,3.4,.091,,0.6,-1.9,-1.3,0.3
1998-99,21,TOT,NBA,SF,50,812,16.0,.545,.244,.401,7.3,11.3,9.3,10.3,1.8,1.2,12.3,21.7,,1.5,0.7,2.2,.130,,1.6,-1.4,0.2,0.5
1998-99,21,PHI,NBA,SF,17,188,12.8,.503,.284,.358,4.2,16.4,10.2,14.8,0.9,1.3,16.2,22.3,,0.1,0.2,0.4,.091,,-1.7,-1.5,-3.1,-0.1
1998-99,21,MIL,NBA,SF,33,624,16.9,.558,.231,.415,8.2,9.7,9.0,8.9,2.0,1.2,11.0,21.6,,1.4,0.5,1.8,.141,,2.5,-1.3,1.2,0.5
1999-00,22,MIL,NBA,SF,80,2093,14.7,.549,.242,.323,5.6,12.9,9.3,8.5,1.5,1.1,13.0,21.0,,3.0,0.8,3.8,.088,,0.8,-1.7,-0.9,0.6
2000-01,23,MIL,NBA,PF,76,2086,16.4,.549,.343,.334,4.3,12.6,8.5,10.5,1.9,1.6,11.6,21.3,,3.7,1.7,5.5,.126,,1.5,-0.8,0.7,1.4
2001-02,24,MIL,NBA,SF,74,1987,13.1,.522,.386,.238,3.9,13.1,8.7,8.7,1.7,1.2,13.2,22.6,,0.8,1.3,2.2,.052,,-0.6,-1.8,-2.4,-0.2
2002-03,25,MIL,NBA,SF,80,2358,14.3,.527,.285,.200,4.8,14.6,9.7,7.3,1.6,1.5,11.6,22.6,,1.9,1.0,2.9,.060,,-0.1,-1.9,-2.0,0.0
2003-04,26,TOT,NBA,SF,66,2089,15.1,.534,.239,.268,3.5,13.9,8.8,10.4,1.6,0.7,11.3,22.4,,2.5,1.6,4.1,.093,,1.0,-0.8,0.2,1.2
2003-04,26,MIL,NBA,SF,42,1343,14.2,.525,.255,.239,3.2,14.1,8.7,11.5,1.6,0.8,11.5,21.5,,1.3,0.9,2.2,.079,,1.0,-0.5,0.5,0.8
2003-04,26,NYK,NBA,SF,24,746,16.7,.547,.211,.317,4.1,13.6,8.9,8.4,1.7,0.5,11.1,24.2,,1.2,0.6,1.8,.118,,1.0,-1.4,-0.3,0.3
2004-05,27,NYK,NBA,SF,71,1940,12.3,.536,.290,.241,2.7,11.7,7.2,9.7,1.1,0.7,12.5,21.3,,1.4,0.8,2.2,.054,,-0.5,-1.7,-2.2,-0.1
2005-06,28,TOT,NBA,PF-SF,29,666,12.2,.535,.424,.160,3.8,17.8,10.9,4.4,1.2,0.7,10.5,21.1,,0.2,0.7,0.9,.065,,-1.5,-1.6,-3.1,-0.2
2005-06,28,CHI,NBA,SF,3,32,8.5,.406,.375,.000,0.0,14.3,7.2,11.0,0.0,2.4,5.9,24.0,,-0.1,0.0,0.0,-0.031,,-5.1,-2.1,-7.2,0.0
2005-06,28,PHO,NBA,PF,26,634,12.4,.543,.427,.171,3.9,18.0,11.1,4.1,1.3,0.7,10.8,21.0,,0.2,0.7,0.9,.069,,-1.3,-1.6,-2.9,-0.1
2006-07,29,LAC,NBA,PF,76,2054,13.6,.532,.492,.199,3.7,18.2,11.0,14.2,1.4,1.1,11.9,20.1,,1.6,2.3,3.9,.092,,0.9,-0.5,0.5,1.3
2007-08,30,LAC,NBA,PF,63,1940,12.2,.505,.384,.217,3.7,15.6,9.6,15.7,1.1,1.1,11.3,20.7,,0.3,1.4,1.7,.042,,-0.3,-0.4,-0.6,0.7
2008-09,31,TOT,NBA,PF,64,1247,12.2,.555,.432,.276,3.7,14.6,9.0,8.6,1.2,0.6,12.5,19.9,,0.9,0.8,1.7,.065,,-0.8,-1.8,-2.5,-0.2
2008-09,31,LAC,NBA,PF,10,220,9.1,.453,.222,.378,7.1,17.3,12.1,7.7,0.7,0.3,11.8,24.6,,-0.3,0.1,-0.2,-0.038,,-4.5,-3.5,-8.1,-0.3
2008-09,31,NYK,NBA,PF,36,773,13.4,.600,.488,.260,2.7,13.6,8.0,9.3,1.4,0.9,13.8,18.8,,0.9,0.5,1.5,.091,,0.2,-1.0,-0.7,0.2
2008-09,31,CHI,NBA,PF,18,254,11.5,.531,.478,.222,3.6,15.3,9.5,7.4,1.2,0.0,9.2,19.1,,0.2,0.2,0.4,.078,,-0.6,-2.7,-3.2,-0.1
2009-10,32,DAL,NBA,SF,18,285,15.1,.579,.406,.226,5.3,11.1,8.2,8.0,1.8,0.5,10.7,21.1,,0.4,0.3,0.7,.120,,1.1,-1.5,-0.4,0.1
