Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1998-99,22,TOT,NBA,PG,24,0,14.3,1.8,5.0,.361,1.0,2.6,.403,0.8,2.4,.316,.466,0.6,0.7,.824,0.3,1.6,1.8,1.8,0.5,0.0,0.7,1.0,5.2
1998-99,22,NJN,NBA,PG,11,0,11.9,1.3,4.0,.318,0.9,2.6,.345,0.4,1.4,.267,.432,1.0,1.2,.846,0.2,1.0,1.2,1.2,0.6,0.0,0.5,0.6,4.5
1998-99,22,BOS,NBA,PG,13,0,16.4,2.2,5.8,.387,1.2,2.5,.455,1.1,3.2,.333,.487,0.2,0.3,.750,0.3,2.1,2.4,2.2,0.5,0.0,0.9,1.2,5.8
1999-00,23,TOT,NBA,PG,55,1,11.1,1.5,3.8,.385,0.7,2.1,.360,0.7,1.7,.415,.483,0.6,0.9,.667,0.2,0.8,1.0,1.7,0.3,0.0,0.7,0.6,4.2
1999-00,23,GSW,NBA,PG,13,1,15.1,1.9,4.2,.463,0.8,1.8,.478,1.1,2.4,.452,.565,0.5,0.7,.778,0.0,1.2,1.2,3.0,0.5,0.0,1.2,1.0,5.2
1999-00,23,DAL,NBA,PG,42,0,9.9,1.3,3.7,.357,0.7,2.2,.330,0.6,1.5,.397,.455,0.6,0.9,.641,0.3,0.6,0.9,1.4,0.3,0.0,0.6,0.5,3.9
2000-01,24,VAN,NBA,PG,71,10,19.9,2.4,5.9,.409,1.2,3.3,.364,1.2,2.6,.465,.510,0.5,0.7,.712,0.2,1.5,1.7,3.2,0.5,0.0,1.1,0.8,6.5
2001-02,25,DET,NBA,PG,67,0,16.2,1.7,4.2,.401,1.0,2.8,.371,0.7,1.5,.459,.523,0.6,0.9,.729,0.2,1.3,1.5,2.1,0.3,0.0,0.9,1.2,5.1
2002-03,26,SAC,NBA,PG,49,1,14.5,1.6,4.3,.381,0.9,2.5,.364,0.7,1.8,.404,.486,0.4,0.6,.741,0.2,1.2,1.4,1.6,0.4,0.1,0.5,0.9,4.6
2003-04,27,MIL,NBA,PG,82,26,24.6,2.6,6.4,.401,1.2,3.3,.359,1.4,3.1,.446,.494,0.7,0.9,.764,0.2,1.9,2.1,5.8,0.4,0.0,1.3,1.1,7.0
2004-05,28,MIA,NBA,PG,82,66,31.4,4.0,8.9,.456,2.7,6.4,.432,1.3,2.5,.517,.611,0.8,1.0,.791,0.2,2.6,2.8,4.3,0.5,0.1,1.2,1.5,11.6
2005-06,29,CLE,NBA,PG,82,7,25.5,2.3,6.0,.387,1.7,4.5,.377,0.6,1.5,.417,.530,0.4,0.6,.640,0.2,1.5,1.6,2.1,0.5,0.0,0.7,1.4,6.7
2006-07,30,CLE,NBA,PG,60,0,19.6,2.3,5.9,.386,1.5,3.9,.385,0.8,2.1,.387,.511,0.5,0.7,.682,0.2,1.0,1.1,1.6,0.3,0.0,0.6,0.9,6.6
2007-08,31,CLE,NBA,SG,67,3,19.9,2.3,5.4,.416,1.7,4.1,.417,0.5,1.3,.414,.574,0.3,0.4,.714,0.1,1.0,1.1,1.9,0.3,0.0,0.5,1.0,6.5
2008-09,32,MIL,NBA,PG,18,0,6.0,0.6,1.9,.324,0.6,1.6,.393,0.0,0.3,.000,.485,0.0,0.0,,0.0,0.3,0.3,0.4,0.2,0.0,0.3,0.2,1.8
