Player,Sim,1,2,3,4,5,6,7,8
Lavoy Allen,,3.7,2.8,2.5,1.6,1.5,,,
Derrick Williams,91.5,3.6,3.0,2.6,2.1,1.8,,,
Don Ford,91.1,3.5,2.8,2.5,2.0,1.5,0.6,-0.1,
Chuck Cooper,89.3,3.3,3.1,2.4,1.7,1.1,0.0,,
Scott Padgett,89.1,3.5,2.8,2.5,1.9,1.8,0.4,0.1,0.1
Lawrence Funderburke,88.7,3.7,3.1,2.1,1.9,1.6,0.5,0.1,
Aaron James,87.3,4.3,2.9,2.2,2.1,1.7,,,
Tim Bassett,87.1,3.7,2.6,2.4,1.5,1.4,1.1,0.1,
Lew Hitch,86.2,3.3,2.7,2.2,2.2,1.2,,,
Dwight Davis,86.1,3.7,3.3,2.3,1.5,0.6,,,
Derrek Dickey,86.0,3.8,3.1,2.3,1.7,0.3,,,
