Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
2003-04,18,DET,NBA,C,34,159,,,,6%,94%,-12.9,-20.3,3,6,4,18,,2,,16,11,2,10
2004-05,19,DET,NBA,C,37,254,,,,,100%,+2.8,-2.0,5,9,2,15,,0,,15,10,0,2
2005-06,20,TOT,NBA,C,55,767,,,,1%,99%,-2.8,-6.9,29,10,12,0,,0,,88,0,2,12
2005-06,20,DET,NBA,C,25,140,,,,,100%,-27.0,-36.4,6,3,6,17,,2,,21,3,0,0
2005-06,20,ORL,NBA,C,30,627,,,,1%,99%,+2.9,+4.8,23,7,6,47,,4,,67,18,2,12
2006-07,21,ORL,NBA,PF,80,1913,,,,56%,44%,+0.6,-0.8,42,38,44,140,,17,,202,89,17,39
2007-08,22,MEM,NBA,C,70,1663,,,,1%,99%,-8.5,-3.0,26,43,32,113,,22,,137,60,11,39
2008-09,23,MEM,NBA,C,61,1034,,,,17%,83%,-4.4,+1.9,19,16,13,75,,9,,77,53,12,26
2009-10,24,TOT,NBA,C,32,685,,,,,100%,-8.0,-1.1,20,11,4,0,,0,,107,0,4,8
2009-10,24,NYK,NBA,C,8,71,,,,,100%,-17.0,-13.4,1,0,1,3,,1,,11,0,0,1
2009-10,24,MIN,NBA,C,24,614,,,,,100%,-7.0,+3.6,19,11,3,39,,1,,96,13,4,7
2010-11,25,MIN,NBA,C,69,1686,,,,,100%,-7.2,-0.4,41,77,33,130,,14,,227,60,13,41
2011-12,26,MIN,NBA,C,29,472,,,,,100%,-4.3,-2.6,8,13,11,30,,7,,36,16,1,13
2012-13,27,BOS,NBA,C,1,5,,,,,100%,-23.3,-22.9,0,1,1,0,,1,0,0,0,0,0
