Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
1999-00,22,LAL,NBA,SF,49,345,12.1,.478,.326,.285,9.1,14.1,11.6,5.5,1.5,0.8,11.5,23.3,,0.1,0.6,0.7,.093,,-1.8,-2.2,-4.0,-0.2
2000-01,23,LAL,NBA,SF,59,593,6.2,.394,.329,.266,6.7,14.1,10.5,4.8,1.3,1.8,12.8,20.0,,-0.7,0.4,-0.3,-0.023,,-4.8,-2.5,-7.3,-0.8
2001-02,24,LAL,NBA,SF,82,1759,12.6,.502,.340,.241,4.9,14.0,9.5,9.4,2.1,1.7,10.2,16.4,,1.6,2.6,4.2,.113,,-0.4,1.1,0.7,1.2
2002-03,25,LAL,NBA,SF,71,1613,11.4,.485,.286,.228,6.3,13.7,10.0,8.6,1.8,1.7,11.4,15.7,,1.2,1.4,2.7,.079,,-1.1,-0.2,-1.3,0.3
2003-04,26,LAL,NBA,SF,82,1951,11.5,.492,.326,.168,5.0,14.4,9.6,8.9,2.2,1.4,12.5,16.1,,0.8,2.5,3.4,.083,,-0.9,1.1,0.1,1.1
2004-05,27,LAL,NBA,SF,15,306,10.7,.488,.558,.192,4.8,14.6,9.8,7.5,1.4,0.5,9.6,18.4,,0.2,0.1,0.3,.041,,-0.7,-2.4,-3.2,-0.1
2005-06,28,LAL,NBA,SF,71,1542,11.3,.484,.376,.202,6.3,14.6,10.5,6.9,2.3,1.7,10.4,15.3,,0.7,2.0,2.6,.082,,-1.5,0.7,-0.8,0.5
2006-07,29,DAL,NBA,SF,60,1283,9.7,.487,.405,.130,5.5,14.3,10.0,4.0,1.9,1.4,11.5,16.1,,0.1,1.9,2.1,.078,,-1.4,0.8,-0.6,0.4
2007-08,30,DAL,NBA,SF,53,821,7.0,.437,.329,.164,4.1,14.9,9.6,6.3,1.2,1.2,9.8,14.0,,-0.3,1.0,0.7,.039,,-3.2,0.3,-2.9,-0.2
2008-09,31,DAL,NBA,SF,43,708,7.0,.485,.535,.155,4.1,8.5,6.3,3.0,1.7,1.1,10.1,10.9,,0.1,0.6,0.6,.042,,-2.0,0.2,-1.8,0.0
2009-10,32,GSW,NBA,SF,45,761,11.6,.560,.597,.112,3.0,13.8,8.3,5.8,2.6,0.9,6.5,13.0,,0.8,0.5,1.3,.084,,0.0,-0.6,-0.6,0.3
