Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1999-00,24,MIA,NBA,PG,79,30,1859,3.9,9.9,.395,0.1,0.4,.130,3.8,9.4,.407,1.8,2.4,.750,0.9,2.9,3.9,7.3,1.8,0.1,3.4,3.2,9.6
2000-01,25,MIA,NBA,PG,72,6,1630,4.3,10.6,.406,0.1,0.9,.150,4.2,9.7,.430,1.4,2.3,.631,1.0,3.0,4.0,5.9,1.6,0.2,2.6,3.4,10.2
2001-02,26,MIA,NBA,PG,46,18,1050,3.1,8.9,.342,0.0,0.7,.053,3.0,8.3,.365,0.7,1.2,.528,0.7,3.4,4.0,7.3,1.7,0.1,2.5,2.9,6.8
2002-03,27,MIA,NBA,PG,49,26,912,3.3,9.2,.356,0.0,0.3,.000,3.3,8.9,.369,1.3,2.0,.660,0.5,2.8,3.3,8.0,1.8,0.2,3.2,2.8,7.9
2003-04,28,SAS,NBA,PG,5,2,87,4.6,15.3,.297,0.0,1.2,.000,4.6,14.1,.324,0.0,0.0,,0.8,3.7,4.6,5.0,1.7,0.0,5.0,3.7,9.1
2004-05,29,MIN,NBA,PG,66,12,742,3.5,8.6,.407,0.1,0.8,.118,3.4,7.8,.438,1.7,2.5,.686,0.6,2.8,3.3,7.8,1.7,0.9,3.0,4.3,8.8
2005-06,30,MIN,NBA,PG,45,8,589,3.2,8.4,.387,0.2,0.9,.267,3.0,7.5,.402,2.4,3.4,.727,0.6,3.2,3.8,6.2,1.5,0.6,2.4,4.3,9.2
2006-07,31,DEN,NBA,PG,2,0,37,2.9,7.8,.375,0.0,1.9,.000,2.9,5.8,.500,0.0,0.0,,0.0,2.9,2.9,10.7,0.0,1.0,5.8,3.9,5.8
2007-08,32,DEN,NBA,PG,70,67,1960,4.0,8.7,.458,0.8,2.4,.349,3.2,6.4,.499,1.2,1.6,.753,0.5,3.2,3.7,7.1,2.0,0.5,2.3,3.2,10.0
2008-09,33,DEN,NBA,PG,78,5,1787,3.4,7.8,.433,0.4,1.8,.239,2.9,6.0,.490,1.1,1.6,.731,0.8,3.3,4.1,7.3,1.9,0.3,3.1,2.9,8.3
2009-10,34,DEN,NBA,PG,54,7,859,3.2,7.6,.420,0.7,2.6,.270,2.5,4.9,.500,0.5,0.5,.846,0.7,3.0,3.7,6.7,1.6,0.5,2.4,3.0,7.5
2010-11,35,TOT,NBA,PG,33,0,463,3.5,8.2,.425,0.9,3.1,.300,2.6,5.1,.500,0.6,0.6,1.000,0.5,3.4,4.0,5.4,2.1,0.5,3.0,3.8,8.6
2010-11,35,DEN,NBA,PG,14,0,153,2.4,7.1,.333,0.9,2.8,.333,1.4,4.2,.333,0.5,0.5,1.000,0.0,2.8,2.8,6.1,2.1,0.2,3.3,4.5,6.1
2010-11,35,NYK,NBA,PG,19,0,310,4.1,8.8,.461,0.9,3.3,.286,3.1,5.6,.563,0.7,0.7,1.000,0.8,3.7,4.5,5.0,2.1,0.6,2.9,3.5,9.8
2011-12,36,TOR,NBA,PG,24,0,209,2.9,9.1,.321,0.9,2.9,.294,2.1,6.2,.333,1.4,1.7,.800,0.9,4.8,5.7,5.9,1.4,0.7,2.9,3.4,8.1
