Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1999-00,24,MIA,NBA,PG,79,30,1859,5.8,14.7,.395,0.1,0.7,.130,5.7,14.0,.407,2.7,3.6,.750,1.4,4.3,5.7,10.9,2.7,0.1,5.0,4.8,14.3,,91,102
2000-01,25,MIA,NBA,PG,72,6,1630,6.6,16.2,.406,0.2,1.4,.150,6.4,14.9,.430,2.2,3.5,.631,1.6,4.5,6.1,9.1,2.5,0.3,4.0,5.2,15.6,,91,99
2001-02,26,MIA,NBA,PG,46,18,1050,4.7,13.6,.342,0.1,1.0,.053,4.6,12.6,.365,1.0,1.9,.528,1.0,5.1,6.1,11.2,2.6,0.2,3.8,4.4,10.4,,84,100
2002-03,27,MIA,NBA,PG,49,26,912,5.0,14.0,.356,0.0,0.5,.000,5.0,13.5,.369,2.0,3.0,.660,0.7,4.3,5.0,12.2,2.7,0.3,4.9,4.2,11.9,,84,103
2003-04,28,SAS,NBA,PG,5,2,87,6.8,22.9,.297,0.0,1.9,.000,6.8,21.0,.324,0.0,0.0,,1.2,5.6,6.8,7.4,2.5,0.0,7.4,5.6,13.6,,60,95
2004-05,29,MIN,NBA,PG,66,12,742,5.2,12.9,.407,0.1,1.2,.118,5.1,11.6,.438,2.5,3.7,.686,0.9,4.1,5.0,11.7,2.5,1.3,4.5,6.4,13.1,,95,106
2005-06,30,MIN,NBA,PG,45,8,589,4.9,12.6,.387,0.4,1.4,.267,4.5,11.2,.402,3.7,5.0,.727,0.8,4.9,5.7,9.3,2.2,0.8,3.7,6.5,13.8,,96,105
2006-07,31,DEN,NBA,PG,2,0,37,4.0,10.7,.375,0.0,2.7,.000,4.0,8.0,.500,0.0,0.0,,0.0,4.0,4.0,14.6,0.0,1.3,8.0,5.3,8.0,,74,111
2007-08,32,DEN,NBA,PG,70,67,1960,5.4,11.7,.458,1.1,3.2,.349,4.2,8.5,.499,1.6,2.1,.753,0.7,4.2,4.9,9.5,2.6,0.7,3.0,4.2,13.4,,108,107
2008-09,33,DEN,NBA,PG,78,5,1787,4.8,11.0,.433,0.6,2.5,.239,4.2,8.5,.490,1.6,2.2,.731,1.1,4.7,5.8,10.4,2.7,0.4,4.4,4.0,11.7,,98,107
2009-10,34,DEN,NBA,PG,54,7,859,4.5,10.7,.420,1.0,3.7,.270,3.5,7.0,.500,0.6,0.8,.846,1.0,4.2,5.2,9.4,2.3,0.8,3.4,4.2,10.6,,100,108
2010-11,35,TOT,NBA,PG,33,0,463,4.9,11.5,.425,1.3,4.3,.300,3.6,7.2,.500,0.9,0.9,1.000,0.8,4.8,5.5,7.5,2.9,0.7,4.2,5.3,11.9,,94,108
2010-11,35,DEN,NBA,PG,14,0,153,3.3,9.8,.333,1.3,3.9,.333,2.0,5.9,.333,0.7,0.7,1.000,0.0,3.9,3.9,8.5,3.0,0.3,4.6,6.2,8.5,,82,107
2010-11,35,NYK,NBA,PG,19,0,310,5.7,12.3,.461,1.3,4.5,.286,4.4,7.8,.563,1.0,1.0,1.000,1.1,5.2,6.3,7.0,2.9,0.8,4.1,4.9,13.6,,99,108
2011-12,36,TOR,NBA,PG,24,0,209,4.4,13.6,.321,1.3,4.4,.294,3.1,9.3,.333,2.1,2.6,.800,1.3,7.2,8.5,8.7,2.1,1.0,4.4,5.1,12.1,,85,103
