Player,Sim,1,2,3,4,5,6,7,8
Alan Anderson,,2.7,1.7,1.6,0.4,0.3,0.3,0.1,
Mike Barr,87.4,2.7,1.7,1.4,0.7,0.4,,,
Anthony Goldwire,83.2,3.0,1.7,1.5,0.3,0.1,0.1,-0.1,-0.1
Tom Garrick,81.2,2.5,1.8,1.4,0.2,,,,
Quinton Ross,79.8,3.2,1.7,1.6,0.7,0.6,0.0,-0.1,
Garrett Temple,79.1,2.7,1.5,1.2,0.4,0.3,-0.4,,
Greg Minor,78.3,3.0,2.1,1.7,0.8,0.6,,,
Tyus Edney,77.0,3.3,1.5,1.4,0.5,,,,
Bucky Bockhorn,75.8,3.1,1.5,1.3,1.1,0.5,0.3,0.1,
Leon Wood,75.7,2.2,2.0,1.9,0.6,0.3,-0.2,,
Dennis Hopson,74.4,3.1,2.1,1.7,0.5,-0.3,,,
