Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Avery Bradley,,4.8,2.5,2.4,1.8,0.4,-0.5,,,,,,
Lee Winfield,86.0,4.5,2.8,2.4,1.6,0.5,0.4,-0.1,,,,,
Kevin Edwards,83.3,5.1,2.5,2.4,1.6,0.6,0.5,0.3,0.1,-0.1,-0.2,-0.2,
Sonny Hertzberg,82.6,4.0,2.5,2.3,1.4,0.7,,,,,,,
Al Skinner,81.0,4.9,3.3,2.1,1.8,1.2,0.0,,,,,,
Skeeter Swift,80.0,4.3,3.4,2.7,1.8,0.0,,,,,,,
Toney Douglas,78.4,4.2,2.5,2.4,2.2,0.9,0.2,-0.6,,,,,
Joe Hamilton,78.0,4.1,2.9,2.9,2.2,0.2,0.2,,,,,,
Jaren Jackson,77.8,4.1,3.1,2.1,1.6,0.4,0.2,0.1,0.0,0.0,0.0,0.0,-0.1
Brandon Knight,75.5,4.5,2.8,1.7,1.3,1.1,,,,,,,
Bill Gabor,75.0,3.5,2.9,2.8,1.5,0.5,0.0,,,,,,
