Player,Sim,1,2,3,4,5,6,7,8,9,10
Jarron Collins,,4.2,3.9,3.3,1.3,1.1,1.0,0.7,0.2,0.1,-0.1
Steve Novak,84.8,4.0,3.9,2.2,1.4,1.1,0.9,0.4,0.3,0.3,0.1
Lionel Simmons,83.8,4.3,3.8,3.8,2.7,1.1,0.9,0.3,,,
Chase Budinger,82.9,3.4,3.1,3.0,1.4,1.3,0.9,0.7,,,
Cornell Warner,82.1,4.7,4.3,3.5,1.7,0.6,0.6,0.3,,,
Corey Brewer,82.0,5.2,3.9,3.1,2.3,1.2,1.1,1.0,0.3,-0.2,
Walter McCarty,80.9,4.1,2.9,2.9,1.8,1.1,0.7,0.5,0.0,0.0,-0.2
Donald Royal,80.8,5.1,3.8,3.6,2.3,1.6,1.3,1.0,0.4,,
Jason Caffey,80.7,3.9,3.5,2.7,1.6,0.6,0.5,0.4,0.3,,
Kenny Gattison,80.1,4.5,3.5,3.2,3.0,1.5,0.7,0.5,0.1,0.0,
Bill Calhoun,79.5,4.5,4.1,3.9,2.2,2.1,1.4,0.4,,,
