Player,Sim,1,2,3,4,5,6,7,8
Meyers Leonard,,2.8,2.4,2.2,0.6,,,,
Victor Alexander,88.0,3.0,2.5,2.3,1.1,-0.1,,,
Gene Wiley,86.9,2.8,2.4,1.8,1.3,-0.1,,,
Tom LaGarde,81.3,2.7,2.2,1.7,0.4,0.0,-0.5,,
Jeff Wilkins,79.8,2.4,2.3,2.3,1.0,0.5,0.3,,
Stanley Roberts,79.2,3.2,2.1,1.8,0.7,0.5,0.0,-0.1,-0.1
Reggie Harding,78.8,3.1,2.6,1.6,0.0,,,,
Bob Hopkins,77.8,3.5,2.7,1.9,1.4,,,,
Zeljko Rebraca,76.0,3.3,2.4,1.3,0.7,0.5,,,
Steven Hunter,75.6,2.8,2.6,2.5,1.0,0.9,0.6,0.1,0.1
Miles Plumlee,75.6,4.0,2.6,2.2,0.0,,,,
