Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
Career,,,NBA,,470,12034,,,,17%,83%,-1.1,+2.9,119,177,277,386,0,103,0,706,274,55,158
3 seasons,,POR,NBA,,150,4048,,,,34%,66%,-2.5,+5.2,27,44,66,204,0,39,0,188,120,19,36
3 seasons,,ATL,NBA,,137,4248,,,,,100%,-2.5,+4.3,55,73,102,200,0,60,0,276,157,19,65
2 seasons,,PHI,NBA,,96,2379,,,,18%,82%,+4.0,+1.1,27,40,73,105,0,38,0,151,91,12,37
1 season,,CHA,NBA,,28,624,,,,1%,99%,+3.4,+2.1,6,8,11,30,0,5,0,33,23,2,9
1 season,,SAS,NBA,,21,183,,,,17%,80%,-12.8,-19.4,0,6,10,12,0,6,0,20,1,0,4
1 season,,DET,NBA,,16,223,,,,,100%,+5.1,-3.7,0,2,7,11,0,3,0,14,8,0,4
1 season,,LAL,NBA,,10,71,,,,26%,74%,-10.6,-17.8,1,1,1,4,0,1,0,6,0,0,1
1 season,,MIN,NBA,,10,214,,,,68%,32%,-3.6,+4.1,3,3,6,14,0,3,0,18,13,3,2
1 season,,BOS,NBA,,2,44,,,,,100%,-24.9,-21.3,0,0,1,4,0,1,0,0,1,0,0
