Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 <3,3P,2P,0-3,3-10,10-16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
Career,,,NBA,,470,12034,.484,6.8,1.000,.371,.301,.240,.087,.000,.484,.655,.390,.401,.309,.000,.631,.146,329,,.000,,0,0
3 seasons,,POR,NBA,,150,4048,.511,5.5,1.000,.466,.289,.166,.079,.000,.511,.669,.422,.330,.286,,.632,.204,119,,,,0,0
3 seasons,,ATL,NBA,,137,4248,.463,7.9,1.000,.311,.278,.290,.120,.000,.463,.638,.367,.422,.328,,.646,.115,112,,,,0,0
2 seasons,,PHI,NBA,,96,2379,.503,6.7,1.000,.340,.349,.265,.046,.000,.503,.701,.390,.435,.292,,.595,.109,53,,,,0,0
1 season,,CHA,NBA,,28,624,.466,6.3,1.000,.414,.302,.181,.103,.000,.466,.708,.286,.333,.250,,.704,.233,24,,,,0,0
1 season,,SAS,NBA,,21,183,.444,5.7,1.000,.417,.389,.194,.000,.000,.444,.467,.429,.429,,,.813,.167,5,,,,0,0
1 season,,DET,NBA,,16,223,.450,4.8,1.000,.525,.325,.125,.025,.000,.450,.476,.538,.200,.000,,.667,.175,6,,,,0,0
1 season,,LAL,NBA,,10,71,.167,5.7,1.000,.500,.333,.167,.000,.000,.167,.333,.000,.000,,,1.000,.167,1,,,,0,0
1 season,,MIN,NBA,,10,214,.511,6.3,.978,.444,.311,.178,.044,.022,.523,.550,.571,.375,.500,.000,.435,.178,8,,.000,,0,0
1 season,,BOS,NBA,,2,44,.333,5.3,1.000,.667,.000,.333,.000,.000,.333,.500,,.000,,,.000,.333,1,,,,0,0
