Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2003-04,20,UTA,NBA,SF,79,14,14.5,1.9,4.8,.396,0.2,0.9,.271,1.6,3.9,.425,.422,0.8,1.1,.774,0.6,1.5,2.0,0.8,0.5,0.2,0.8,2.4,4.8
2004-05,21,CLE,NBA,SG,65,9,13.3,1.8,4.2,.435,0.5,1.2,.385,1.4,3.0,.455,.489,0.7,1.0,.688,0.2,0.9,1.1,0.8,0.4,0.1,0.7,1.9,4.8
2005-06,22,CLE,NBA,SG,53,19,15.3,1.6,4.0,.410,0.7,1.8,.365,1.0,2.2,.448,.493,0.6,0.9,.653,0.3,1.2,1.5,0.5,0.4,0.1,0.8,1.9,4.5
2006-07,23,CLE,NBA,SG,67,28,22.9,3.3,7.3,.453,0.9,2.2,.405,2.4,5.1,.474,.514,1.5,1.9,.794,0.3,2.0,2.4,1.6,0.8,0.3,1.5,2.2,9.0
2007-08,24,CLE,NBA,SG,51,45,23.3,2.9,7.9,.362,0.7,2.2,.298,2.2,5.7,.388,.404,1.0,1.5,.688,0.7,1.8,2.5,1.6,0.6,0.1,1.1,2.3,7.4
2008-09,25,CLE,NBA,SF,66,12,16.0,1.8,4.2,.422,0.7,1.8,.410,1.0,2.4,.430,.509,0.4,0.8,.463,0.5,1.5,1.9,1.1,0.3,0.2,0.7,1.8,4.6
2009-10,26,MIN,NBA,SF,71,0,12.4,1.5,4.2,.363,0.5,1.7,.297,1.0,2.6,.407,.422,0.1,0.4,.385,0.2,1.5,1.6,0.8,0.3,0.1,0.7,1.2,3.7
2010-11,27,TOT,NBA,SF-SG,31,7,11.7,0.9,2.3,.403,0.4,1.0,.387,0.5,1.3,.415,.486,0.2,0.3,.600,0.0,1.0,1.0,0.5,0.3,0.2,0.4,1.1,2.5
2010-11,27,DAL,NBA,SF,10,6,16.3,1.5,3.5,.429,0.7,1.6,.438,0.8,1.9,.421,.529,0.4,0.5,.800,0.0,1.2,1.2,0.7,0.5,0.3,0.5,1.5,4.1
2010-11,27,NOH,NBA,SG,4,1,12.5,0.5,2.8,.182,0.0,1.3,.000,0.5,1.5,.333,.182,0.0,0.0,,0.0,1.5,1.5,1.5,0.0,1.0,0.3,1.0,1.0
2010-11,27,BOS,NBA,SG,17,0,8.8,0.7,1.5,.462,0.3,0.6,.500,0.4,0.9,.438,.558,0.1,0.3,.400,0.1,0.8,0.8,0.2,0.3,0.0,0.4,0.9,1.8
2011-12,28,BOS,NBA,SF,45,7,11.7,1.1,2.8,.391,0.4,1.3,.293,0.7,1.6,.471,.457,0.1,0.2,.375,0.1,1.5,1.6,0.4,0.4,0.3,0.4,1.2,2.7
2012-13,29,POR,NBA,SG,39,1,13.5,1.1,3.1,.353,0.5,1.5,.300,0.6,1.5,.407,.429,0.0,0.2,.167,0.2,1.3,1.4,0.8,0.6,0.1,0.4,1.5,2.6
