Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2003-04,20,UTA,NBA,SF,79,14,1144,4.7,11.8,.396,0.6,2.2,.271,4.1,9.6,.425,2.0,2.6,.774,1.4,3.6,5.0,1.9,1.3,0.5,2.1,5.9,12.0
2004-05,21,CLE,NBA,SG,65,9,862,5.0,11.5,.435,1.3,3.3,.385,3.8,8.3,.455,1.8,2.7,.688,0.6,2.3,3.0,2.0,1.2,0.2,2.0,5.1,13.1
2005-06,22,CLE,NBA,SG,53,19,813,3.9,9.4,.410,1.5,4.3,.365,2.3,5.1,.448,1.4,2.2,.653,0.7,2.8,3.5,1.1,0.8,0.3,1.9,4.6,10.7
2006-07,23,CLE,NBA,SG,67,28,1534,5.2,11.5,.453,1.4,3.5,.405,3.8,8.0,.474,2.3,3.0,.794,0.5,3.2,3.7,2.5,1.3,0.4,2.4,3.4,14.2
2007-08,24,CLE,NBA,SG,51,45,1188,4.4,12.2,.362,1.0,3.5,.298,3.4,8.8,.388,1.6,2.3,.688,1.1,2.8,3.9,2.5,0.9,0.2,1.7,3.5,11.5
2008-09,25,CLE,NBA,SF,66,12,1053,4.0,9.4,.422,1.6,4.0,.410,2.3,5.4,.430,0.9,1.8,.463,1.1,3.3,4.3,2.5,0.8,0.5,1.6,4.2,10.4
2009-10,26,MIN,NBA,SF,71,0,877,4.5,12.3,.363,1.4,4.8,.297,3.0,7.5,.407,0.4,1.1,.385,0.5,4.3,4.8,2.4,0.9,0.2,2.2,3.4,10.8
2010-11,27,TOT,NBA,SF-SG,31,7,362,2.9,7.2,.403,1.2,3.1,.387,1.7,4.1,.415,0.6,1.0,.600,0.1,3.1,3.2,1.6,1.0,0.7,1.2,3.4,7.6
2010-11,27,DAL,NBA,SF,10,6,163,3.3,7.7,.429,1.5,3.5,.438,1.8,4.2,.421,0.9,1.1,.800,0.0,2.7,2.7,1.5,1.1,0.7,1.1,3.3,9.1
2010-11,27,NOH,NBA,SG,4,1,50,1.4,7.9,.182,0.0,3.6,.000,1.4,4.3,.333,0.0,0.0,,0.0,4.3,4.3,4.3,0.0,2.9,0.7,2.9,2.9
2010-11,27,BOS,NBA,SG,17,0,149,2.9,6.3,.462,1.2,2.4,.500,1.7,3.9,.438,0.5,1.2,.400,0.2,3.1,3.4,0.7,1.2,0.0,1.4,3.6,7.5
2011-12,28,BOS,NBA,SF,45,7,527,3.4,8.7,.391,1.2,4.0,.293,2.3,4.8,.471,0.2,0.5,.375,0.3,4.6,4.9,1.2,1.4,1.0,1.4,3.7,8.2
2012-13,29,POR,NBA,SG,39,1,528,2.9,8.1,.353,1.2,4.1,.300,1.6,4.0,.407,0.1,0.4,.167,0.5,3.3,3.8,2.2,1.6,0.3,1.0,4.0,7.0
