Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
2006-07,22,ATL,NBA,PF,58,666,,,,46%,54%,-12.5,-8.6,7,9,9,85,,7,,24,35,5,17
2007-08,23,ATL,NBA,PF,35,145,,,,32%,68%,-16.4,-14.9,1,7,3,18,,3,,0,7,0,7
2008-09,24,ATL,NBA,C,63,675,,,,37%,63%,-3.7,-6.8,5,12,10,85,,6,,34,38,10,18
2009-10,25,IND,NBA,C,52,675,,,,26%,74%,-10.7,-9.1,16,10,14,79,,8,,74,27,3,18
2010-11,26,IND,NBA,C,39,528,,,,3%,97%,-5.9,-5.1,7,8,20,52,,16,,67,27,4,16
2011-12,27,TOT,NBA,C-PF,21,292,,,,47%,53%,-21.6,-21.9,4,5,9,0,,0,,21,0,1,7
2011-12,27,LAC,NBA,PF,10,96,,,,56%,44%,-32.6,-36.6,1,0,4,7,,2,,4,2,1,1
2011-12,27,NOH,NBA,C,11,196,,,,43%,57%,-16.3,-12.8,3,5,5,16,,5,,17,9,0,6
2012-13,28,NYK,NBA,PF,2,26,,,,,100%,-2.4,-6.9,1,1,1,1,,1,0,0,0,0,0
2013-14,29,ORL,NBA,PF,11,85,,,,66%,34%,-11.4,-5.8,0,0,2,5,0,1,1,4,1,0,1
